Origin Paper,Snowballing Type,Reference,External Link,DOI
12,Backward,"M. Nygard, Release It! Design and Deploy Production-Ready Software. Pragmatic Bookshelf, 2007.",https://www.torrossa.com/it/resources/an/5241265,
12,Backward,"J. Humble and D. Farley, Continuous Delivery: Reliable Software Releases through Build, Test, and Deployment Automation. Addison-Wesley Professional, 2010.",,
12,Backward,"K. Morris, Infrastructure as Code: Dynamic Systems for the Cloud. O’Reilly, 2015.",,
12,Backward,"M. Artac, T. Borovssak, E. Di Nitto, M. Guerriero, and D. A. Tamburri, “Devops: Introducing infrastructure-as-code,” in 2017 IEEE/ACM 39th International Conference on Software Engineering Companion (ICSE-C), 2017, pp. 497–498.",,https://doi.org/10.1109/ICSE-C.2017.162
12,Backward,"S. Newman, Building Microservices: Designing Fine-Grained Systems. O’Reilly, 2015.",,
12,Backward,"I. Kumara, M. Garriga, A. U. Romeu, D. Di Nucci, F. Palomba, D. A. Tamburri, and W.-J. van den Heuvel, “The do’s and don’ts of infrastructure code: A systematic gray literature review,” Information and Software Technology, vol. 137, p. 106593, 2021. [Online]. Available: https://www.sciencedirect.com/science/article/pii/S0950584921000720",,https://doi.org/10.1016/j.infsof.2021.106593
12,Backward,"T. Sharma, M. Fragkoulis, and D. Spinellis, “Does your configuration code smell? ” in Proceedings of the 13th International Conference on Mining Software Repositories, ser. MSR ’16. New York, NY, USA : Association for Computing Machinery, 2016, p. 189–200. [Online]. Available: https://doi.org/10.1145/2901739.2901761",,https://doi.org/10.1145/2901739.2901761
12,Backward,"J. Schwarz, A. Steffens, and H. Lichter, “Code smells in infrastructure as code,” in 2018 11th International Conference on the Quality of Information and Communications Technology (QUATIC), 2018, pp. 220–228.",,https://doi.org/10.1109/QUATIC.2018.00040
12,Backward,"AWS Documentation, “Security groups for your vpc,” https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html, 2021.",https://docs.aws.amazon.com/vpc/latest/userguide/VPC_SecurityGroups.html,
12,Backward,"OWASP Cheat Sheet Series, “Authentication cheat sheet,” https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html#logging-and-monitoring, 2021.",https://cheatsheetseries.owasp.org/cheatsheets/Authentication_Cheat_Sheet.html#logging-and-monitoring,
12,Backward,"OWASP Cheat Sheet Series, “Transport layer protection cheat sheett,” https://cheatsheetseries.owasp.org/cheatsheets/Transport_Layer_Protection_Cheat_Sheet.html#ssl-vs-tls, 2021.",https://cheatsheetseries.owasp.org/cheatsheets/Transport_Layer_Protection_Cheat_Sheet.html#ssl-vs-tls,
12,Backward,"OWASP Cheat Sheet Series, “Infrastructure as code security cheatsheet,” https://cheatsheetseries.owasp.org/cheatsheets/Infrastructure_as_Code_Security_Cheat_Sheet.html, 2021.",https://cheatsheetseries.owasp.org/cheatsheets/Infrastructure_as_Code_Security_Cheat_Sheet.html,
12,Backward,"Cloud Security Alliance, “Continuous monitoring in the cloud,” https://cloudsecurityalliance.org/blog/2018/06/11/continuous-monitoring-in-the-cloud/, 2018.",https://cloudsecurityalliance.org/blog/2018/06/11/continuous-monitoring-in-the-cloud/,
12,Backward,"Cloud Security Alliance, “Five approaches for securing identity in cloud infrastructure,” https://cloudsecurityalliance.org/blog/2021/05/20/five-approaches-for-securing-identity-in-cloud-infrastructure/, 2021.",https://cloudsecurityalliance.org/blog/2021/05/20/five-approaches-for-securing-identity-in-cloud-infrastructure/,
12,Backward,"S. Dalla Palma, D. Di Nucci, F. Palomba, and D. A. Tamburri, “Toward a catalog of software quality metrics for infrastructure code,” Journal of Systems and Software, vol. 170, p. 110726, 2020.",,https://doi.org/10.1016/j.jss.2020.110726
