Origin Paper,Snowballing Type,Reference,External Link,DOI
16,Backward,"Bushong, V., Das, D., Al Maruf, A., Cerny, T.: Using static analysis to address microservice architecture reconstruction. In: 2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE). IEEE (2021)",,https://doi.org/10.1109/ASE51524.2021.9678749
16,Backward,"Cerny, T., Abdelfattah, A.S., Bushong, V., Al Maruf, A., Taibi, D.: Microservice architecture reconstruction and visualization techniques: a review. In: 2022 IEEE International Conference on Service-Oriented System Engineering (SOSE). IEEE (2022)",,https://doi.org/10.1109/SOSE55356.2022.00011
16,Backward,"Ducasse, S., Pollet, D.: Software architecture reconstruction: a process-oriented taxonomy. IEEE Trans. Software Eng. 35(4), 573–591 (2009)",,https://doi.org/10.1109/TSE.2009.19
16,Backward,"Granchelli, G., Cardarelli, M., Di Francesco, P., Malavolta, I., Iovino, L., Di Salle, A.: Towards recovering the software architecture of microservice-based systems. In: 2017 IEEE International conference on software architecture workshops (ICSAW). IEEE (2017)",,https://doi.org/10.1109/ICSAW.2017.48
16,Backward,"Hasselbring, W., Steinacker, G.: Microservice architectures for scalability, agility and reliability in e-commerce. In: 2017 IEEE International Conference on Software Architecture Workshops (ICSAW). IEEE (2017)",,https://doi.org/10.1109/ICSAW.2017.11
16,Backward,"Newman, S.: Building Microservices. O’Reilly Media Inc., Sebastopol (2015)",,
16,Backward,"Ntentos, E., Zdun, U., Plakidas, K., Geiger, S.: Semi-automatic feedback for improving architecture conformance to microservice patterns and practices. In: 2021 IEEE 18th International Conference on Software Architecture (ICSA). IEEE (2021)",,https://doi.org/10.1109/ICSA51549.2021.00012
16,Backward,"Ntentos, E., et al.: Detector-based component model abstraction for microservice-based systems. Computing 103(11), 2521–2551 (2021)",,https://doi.org/10.1007/s00607-021-01002-z
16,Backward,"Ntentos, E., Zdun, U., Plakidas, K., Meixner, S., Geiger, S.: Assessing architecture conformance to coupling-related patterns and practices in microservices. In: Jansen, A., Malavolta, I., Muccini, H., Ozkaya, I., Zimmermann, O. (eds.) ECSA 2020. LNCS, vol. 12292, pp. 3–20. Springer, Cham (2020). https://doi.org/10.1007/978-3-030-58923-3_1",,https://doi.org/10.1007/978-3-030-58923-3_1
16,Backward,"Papotti, P.E., do Prado, A.F., de Souza, W.L.: Reducing time and effort in legacy systems reengineering to MDD using metaprogramming. In: Proceedings of the 2012 ACM Research in Applied Computation Symposium (2012)",,https://doi.org/10.1145/2401603.2401681
16,Backward,"Rademacher, F., Sachweh, S., Zündorf, A.: A modeling method for systematic architecture reconstruction of microservice-based software systems. In: Nurcan, S., Reinhartz-Berger, I., Soffer, P., Zdravkovic, J. (eds.) BPMDS/EMMSAD -2020. LNBIP, vol. 387, pp. 311–326. Springer, Cham (2020). https://doi.org/10.1007/978-3-030-49418-6_21",,https://doi.org/10.1007/978-3-030-49418-6_21
16,Backward,"Rattan, D., Bhatia, R., Singh, M.: Software clone detection: a systematic review. Inf. Softw. Technol. 55(7), 1165–1199 (2013)",,https://doi.org/10.1016/j.infsof.2013.01.008
16,Backward,"Zdun, U., et al.: Microservice security metrics for secure communication, identity management, and observability. ACM Trans. Softw. Eng. Methodol. 32(1), 1–34 (2023)",,https://doi.org/10.1145/3532183
16,Forward,"FASEEHA, Ummay et al. Observability in microservices: An in-depth exploration of frameworks, challenges, and deployment paradigms. IEEE Access, 2025.",,https://doi.org/10.1109/ACCESS.2025.3562125
16,Forward,"SCHNEIDER, Simon et al. Comparison of static analysis architecture recovery tools for microservice applications. Empirical Software Engineering, v. 30, n. 5, p. 128, 2025.",,https://doi.org/10.1007/s10664-025-10686-2
16,Forward,"MENDONÇA FILHO, Ricardo César; MENDONÇA, Nabor C. Performance impact of microservice granularity decisions: An empirical evaluation using the service weaver framework. In: European Conference on Software Architecture. Cham: Springer Nature Switzerland, 2024. p. 191-206.",,https://doi.org/10.1007/978-3-031-70797-1_13
16,Forward,"MEDEIROS RÊGO, Camila; MENDONÇA FILHO, Ricardo César; MENDONÇA, Nabor C. Performance and Resilience Impact of Microservice Granularity: An Empirical Evaluation Using Service Weaver and Amazon EKS. International Journal of Network Management, v. 35, n. 4, p. e70019, 2025.",,https://doi.org/10.1002/nem.70019
16,Forward,"FERREIRA, Ricardo; CORREIA, Filipe F.; QUEIROZ, Paulo GG. Infragenie: Living Software Architecture Diagrams From Docker Compose Files. In: European Conference on Software Architecture. Cham: Springer Nature Switzerland, 2025. p. 12-20.",,https://doi.org/10.1007/978-3-032-04403-7_2
16,Forward,"DIAZ-PACE, J. Andres; TRUBIANI, Catia; GARLAN, David. Data-driven Understanding of Design Decisions in Pattern-based Microservices Architecture. In: European Conference on Software Architecture. Cham: Springer Nature Switzerland, 2025. p. 276-293.",,https://doi.org/10.1007/978-3-032-02138-0_18
16,Forward,"WELLER, Marcel; BREITENBÜCHER, Uwe; BECKER, Steffen. A Method for Automated Deployment Architecture Reconstruction from Heterogeneously Nested Deployment Models. In: International Conference on Cooperative Information Systems. Cham: Springer Nature Switzerland, 2025. p. 391-409.",,https://doi.org/10.1007/978-3-032-15538-2_22
16,Forward,"NUNES, Henrique Ribeiro. Living Software Architecture Models Using Human-provided and Automatically-inferred Information. PQDT-Global, 2024.",https://www.proquest.com/openview/cf283e29baf059eabc2ce12c6edcfc58/1?pq-origsite=gscholar&cbl=2026366&diss=y,
16,Forward,"FILHO, Ricardo César Mendonça; MENDONÇA, Nabor C. Performance Impact of Microservice Granularity Decisions: An Empirical Evaluation Using the Service Weaver Framework.",https://www.researchgate.net/profile/Nabor-Mendonca/publication/383607458_Performance_Impact_of_Microservice_Granularity_Decisions_An_Empirical_Evaluation_Using_the_Service_Weaver_Framework/links/66e4cb8ef84dd1716cebe6fb/Performance-Impact-of-Microservice-Granularity-Decisions-An-Empirical-Evaluation-Using-the-Service-Weaver-Framework.pdf,
