Origin Paper,Snowballing Type,Reference,External Link,DOI,
4,Backward,"Bogner, J.; Wagner, S.; Zimmermann, A. Towards a practical maintainability quality model for service- and microservice-based systems, pp. 195–198 (2017).",https://doi.org/10.1145/3129790.3129816,https://doi.org/10.1145/3129790.3129816,
4,Backward,"Chen, L. Microservices: architecting for continuous delivery and DevOps. In: 2018 IEEE International Conference on Software Architecture (ICSA), pp. 39–397 (2018).",https://doi.org/10.1109/ICSA.2018.00013,https://doi.org/10.1109/ICSA.2018.00013,
4,Backward,"Engel, T.; Langermeier, M.; Bauer, B.; Hofmann, A. Evaluation of microservice architectures: a metric and tool-based approach. In: CAiSE 2018, pp. 74–89. Springer, Cham (2018).",https://doi.org/10.1007/978-3-319-92901-9_8,https://doi.org/10.1007/978-3-319-92901-9_8,
4,Backward,"Harrell, F.E. Regression Modeling Strategies. Springer, Cham (2015).",https://doi.org/10.1007/978-3-319-19425-7,https://doi.org/10.1007/978-3-319-19425-7,
4,Backward,"Guo, G.Y.; Atlee, J.M.; Kazman, R. A software architecture reconstruction method. In: Software Architecture, IFIP, vol. 12, pp. 15–33. Springer (1999).",https://doi.org/10.1007/978-0-387-35563-4_2,https://doi.org/10.1007/978-0-387-35563-4_2,
4,Backward,"Haselböck, S.; Weinreich, R.; Buchgeher, G. Decision models for microservices. In: ECSA 2017, LNCS 10475, pp. 155–170. Springer (2017).",https://doi.org/10.1007/978-3-319-65831-5_11,https://doi.org/10.1007/978-3-319-65831-5_11,
4,Backward,"Hohpe, G.; Woolf, B. Enterprise Integration Patterns. Addison-Wesley (2003).",,,
4,Backward,"Knoche, H.; Hasselbring, W. Drivers and barriers for microservice adoption. EMISAJ 14(1), 1–35 (2019).",https://doi.org/10.18417/emisa.14.1,https://doi.org/10.18417/emisa.14.1,
4,Backward,"Lewis, J.; Fowler, M. Microservices: a definition of this new architectural term (2004).",http://martinfowler.com/articles/microservices.html,,
4,Backward,"Newman, S. Building Microservices: Designing Fine-Grained Systems. O’Reilly (2015).",,,
4,Backward,"Pahl, C.; Jamshidi, P. Microservices: a systematic mapping study. Cloud Computing and Services Science (2016).",https://doi.org/10.5220/0005785501370146,https://doi.org/10.5220/0005785501370146,
4,Backward,"Pautasso, C.; Wilde, E. Why is the web loosely coupled? WWW Conference (2009).",https://doi.org/10.1145/1526709.1526832,https://doi.org/10.1145/1526709.1526832,
4,Backward,"Pietrantuono, R.; Russo, S.; Guerriero, A. Run-time reliability estimation of microservice architectures. ISSRE (2018).",https://doi.org/10.1109/ISSRE.2018.00014,https://doi.org/10.1109/ISSRE.2018.00014,
4,Backward,"Richardson, C. A pattern language for microservices (2017).",http://microservices.io/patterns/index.html,,
4,Backward,"Skowronski, J. Best practices for event-driven microservice architecture (2019).",https://hackernoon.com/best-practices-for-event-driven-microservice-architecture-e034p21lk,,
4,Backward,"Taibi, D.; Lenarduzzi, V. On the definition of microservice bad smells. IEEE Software 35(3), 56–62 (2018).",https://doi.org/10.1109/MS.2018.2141031,https://doi.org/10.1109/MS.2018.2141031,
4,Backward,"Van Deursen, A.; Hofmeister, C.; Koschke, R.; Moonen, L.; Riva, C. Symphony: view-driven software architecture reconstruction. WICSA (2004).",,,
4,Backward,"Zdun, U.; Navarro, E.; Leymann, F. Ensuring and assessing architecture conformance to microservice decomposition patterns. ICSOC 2017.",https://doi.org/10.1007/978-3-319-69035-3_29,https://doi.org/10.1007/978-3-319-69035-3_29,
4,Backward,"Zimmermann, O. Microservices tenets. Computer Science - Research and Development (2016).",https://doi.org/10.1007/s00450-016-0337-0,https://doi.org/10.1007/s00450-016-0337-0,
4,Backward,"Zimmermann, O.; Stocker, M.; Zdun, U.; Luebke, D.; Pautasso, C. Microservice API patterns (2019).",https://microservice-api-patterns.org,,
4,Forward,"PASTRANA, Manuel et al. Best Practices Evidenced for Software Development Based on DevOps and Scrum: A Literature Review. Applied Sciences, v. 15, n. 10, p. 5421, 2025.",,https://doi.org/10.3390/app15105421,
4,Forward,"SERBOUT, Souhaila et al. API Rate Limit Adoption--A pattern collection. In: Proceedings of the 28th European Conference on Pattern Languages of Programs. 2023. p. 1-20.",,https://doi.org/10.1145/3628034.3628039,
4,Forward,"XING, Yongchao et al. Catalog, Impact, and Evaluation of Microservice Bad Smells: A Systematic Literature Review. Software: Practice and Experience, 2026.",,https://doi.org/10.1002/spe.70053,
4,Forward,"EL MALKI, Amine; ZDUN, Uwe; PAUTASSO, Cesare. Impact of api rate limit on reliability of microservices-based architectures. In: 2022 IEEE International Conference on Service-Oriented System Engineering (SOSE). IEEE, 2022. p. 19-28.",,https://doi.org/10.1109/SOSE55356.2022.00009,
4,Forward,"NTENTOS, Evangelos et al. Semi-automatic feedback for improving architecture conformance to microservice patterns and practices. In: 2021 IEEE 18th International Conference on Software Architecture (ICSA). IEEE, 2021. p. 36-46.",,https://doi.org/10.1109/ICSA51549.2021.00012,
4,Forward,"LICHTENTHÄLER, Robin; WIRTZ, Guido. Formulating a quality model for cloud-native software architectures: conceptual and methodological considerations. Cluster Computing, v. 27, n. 4, p. 4077-4093, 2024.",,https://doi.org/10.1007/s10586-024-04343-4,
4,Forward,"SINGJAI, Apitchaka; ZDUN, Uwe. Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain models. Journal of Systems and Software, v. 193, p. 111433, 2022.",,https://doi.org/10.1016/j.jss.2022.111433,
4,Forward,"LICHTENTHÄLER, Robin; WIRTZ, Guido. Towards a quality model for cloud-native applications. In: European Conference on Service-Oriented and Cloud Computing. Cham: Springer International Publishing, 2022. p. 109-117.",,https://doi.org/10.1007/978-3-031-04718-3_7,
4,Forward,"FALAZI, Ghareeb et al. Compliance Management of IaC-Based Cloud Deployments During Runtime. In: Proceedings of the IEEE/ACM 16th International Conference on Utility and Cloud Computing. 2023. p. 1-11.",,https://doi.org/10.1145/3603166.3632135,
4,Forward,"NTENTOS, Evangelos et al. Evaluating and improving microservice architecture conformance to architectural design decisions. In: International Conference on Service-Oriented Computing. Cham: Springer International Publishing, 2021. p. 188-203.",,https://doi.org/10.1007/978-3-030-91431-8_12,
4,Forward,"WU, Suxiang et al. Csmo: The cross-supervision method for microservice optimization through decentralized data management. In: International Conference on Service-Oriented Computing. Singapore: Springer Nature Singapore, 2024. p. 107-122.",,https://doi.org/10.1007/978-981-96-0808-9_9,
4,Forward,"DAASE, Christian et al. Creation of a Framework and a Corresponding Tool Enabling the Test-Driven Development of Microservices. J. Softw., v. 18, n. 2, p. 55-69, 2023.",,https://doi.org/10.17706/jsw.18.2.55-69, 
4,Forward,"SINGJAI, Apitchaka; ZDUN, Uwe. API description-based conformance assessment of architectural design decision. In: 2022 IEEE International Conference on Service-Oriented System Engineering (SOSE). IEEE, 2022. p. 59-68.",,https://doi.org/10.1109/SOSE55356.2022.00013,
4,Forward,"RADEMACHER, Florian. Correct-By-Construction Microservices with Model-Driven Engineering: The Case for Architectural Pattern Conformance Checking and Pattern-Conform Code Generation. In: Joint Post-proceedings of the Third and Fourth International Conference on Microservices (Microservices 2020/2022). Schloss Dagstuhl–Leibniz-Zentrum für Informatik, 2023. p. 8: 1-8: 25.",,https://doi.org/10.4230/OASIcs.Microservices.2020-2022.8,
