Origin Paper,Snowballing Type,Reference,External Link,DOI,
6,Backward,"S.D. Adnan. 2019. Software evolution on azureus bit torrent software: A study on growth and change analysis. Journal of Engineering Science and Technology 14 (01 2019), 430--447.",http://jestec.taylors.edu.my/Vol%2014%20issue%201%20February%202019/14_1_29.pdf,,
6,Backward,"N. Alshuqayran, N. Ali, and R. Evans. 2018. Towards Micro Service Architecture Recovery: An Empirical Study. In 2018 IEEE International Conference on Software Architecture (ICSA). 47--4709.",,https://doi.org/10.1109/ICSA.2018.00014,
6,Backward,"U. Azadi, F. Arcelli Fontana, and D. Taibi. 2019. Architectural Smells Detected by Tools: a Catalogue Proposal. In 2019 IEEE/ACM International Conference on Technical Debt (TechDebt). 88--97.",,https://doi.org/10.1109/TechDebt.2019.00027,
6,Backward,"Albert-László Barabási and Réka Albert. 1999. Emergence of Scaling in Random Networks. Science 286, 5439 (1999), 509--512.",,,
6,Backward,A. B. Binkley and S. R. Schach. 1998. Validation of the coupling dependency metric as a predictor of run-time failures and maintenance measures. In Proceedings of the 20th International Conference on Software Engineering. 452--455.,https://dl.acm.org/doi/10.5555/302163.302212,,
6,Backward,"J. Bogner, T. Boceck, M. Popp, D. Tschechlov, S. Wagner, and A. Zimmermann. 2019. Towards a Collaborative Repository for the Documentation of Service-Based Antipatterns and Bad Smells. In 2019 IEEE International Conference on Software Architecture Companion (ICSA-C). 95--101.",,https://doi.org/10.1109/ICSA-C.2019.00025,
6,Backward,"J. Bogner, J. Fritzsch, S. Wagner, and A. Zimmermann. 2018. Limiting Technical Debt with Maintainability Assurance - An Industry Survey on Used Techniques and Differences with Service- and Microservice-Based Systems. In 2018 IEEE/ACM International Conference on Technical Debt (TechDebt). 125--133.",,https://doi.org/10.1145/3194164.3194166,
6,Backward,"J. Bogner, S. Wagner, and A. Zimmermann. 2017. Automatically Measuring the Maintainability of Service- and Microservice-based Systems: A Literature Review. In Proc. of the 27th Int. Workshop on Software Measurement (Gothenburg, Sweden). ACM, New York, NY, USA, 107--115.",,https://doi.org/10.1145/3143434.3143443,
6,Backward,"Justus Bogner, Stefan Wagner, and Alfred Zimmermann. 2017. Towards a Practical Maintainability Quality Model for Service-and Microservice-based Systems. In Proceedings of the 11th European Conference on Software Architecture: Companion Proceedings (Canterbury, United Kingdom). ACM, New York, NY, USA, 195--198.",,https://doi.org/10.1145/3129790.3129816,
6,Backward,L. Chen. 2018. Microservices: Architecting for Continuous Delivery and DevOps. In 2018 IEEE International Conference on Software Architecture (ICSA). 39--397.,,https://doi.org/10.1109/ICSA.2018.00013,
