Origin Paper,Snowballing Type,Reference,External Link,DOI
1,Backward,"L. Bass, P. Clements, and R. Kazman, Software Architecture in Practice (2nd Edition), 2nd ed. Addison-Wesley Professional, 4 2003",https://www.academia.edu/download/94904831/software_architecture.pdf,
1,Backward,"E. Y. Nakagawa, P. Oliveira Antonino, and M. Becker, ""Reference architecture and product line architecture: A subtle but critical difference in Software Architecture, ser. Lecture Notes in Computer Science, I. Crnkovic, V. Gruhn, and M. Book, Eds. Springer Berlin Heidelberg, 2011, vol. 6903, pp. 207-211. [Online]. Available: Http://dx.doi.org/10.1007/978-3-642-23798-0 22",https://link.springer.com/chapter/10.1007/978-3-642-23798-0_22,https://doi.org/10.1007/978-3-642-23798-0_22
1,Backward,"S. Angelov, J. J. M. Trienekens, and P. Grefen, ""Towards a method for the evaluation of reference architectures: Experiences from a case in ECSA 08: Proceedings of the 2nd European Conference on Software Architecture. Springer Berlin Heidelberg, 2008, pp. 225-240",https://link.springer.com/chapter/10.1007/978-3-540-88030-1_17,https://doi.org/10.1007/978-3-540-88030-1_17
1,Backward,"R. N. Taylor, N. Medvidovic, and E. M. Dashofy, Software Architecture: Foundations, Theory, and Practice. Wiley, 1 2010",https://dl.acm.org/doi/abs/10.1145/1810295.1810435,https://doi.org/10.1145/1810295.1810435
1,Backward,"D. Greefhorst and E. Proper, Architecture Principles: The Cornerstones of Enterprise Architecture. Springer, 2011, vol. 4",https://www.erikproper.eu/publications/EP-2024-03-24-13-42-43.pdf,
1,Backward,"R. Cloutier, G. Muller, D. Verma, R. Nilchiani, E. Hole, and M. Bone, ""The concept of reference architectures Systems Engineering, pp. 14-27, 2009",https://incose.onlinelibrary.wiley.com/doi/abs/10.1002/sys.20129,https://doi.org/10.1002/sys.20129
1,Backward,"R. Weinreich, C. Miesbauer, G. Buchgeher, and T. Kriechbaum, ""Extracting and facilitating architecture in service-oriented software systems in 2012 Joint 10th IEEE/IFIP Working Conference on Software Architecture 6th European Conference on Software Architecture (WICSA-ECSA 2012), DOI 10.1109/WICSA-ECSA.212.16. IEEE, 2012",https://ieeexplore.ieee.org/abstract/document/6337764/,https://doi.org/10.1109/WICSA-ECSA.212.16
1,Backward,"G. Buchgeher and R. Weinreich, ""Towards continuous reference architecture conformance analysis in 7th European Conference on Software Architecture (ECSA 2013), ser. Lecture Notes in Computer Science, K. Drira, Ed., vol. 7957. Springer Berlin Heidelberg, 2013, pp. 332-335. [Online]. Available: Http://dx.doi.org/10.1007/ 978-3-642-39031-9 32",https://link.springer.com/chapter/10.1007/978-3-642-39031-9_32,https://doi.org/10.1007/978-3-642-39031-9_32
1,Backward,"R. Weinreich and G. Buchgeher, ""Towards supporting the software architecture life cycle Journal of Systems and Software, vol. 85, no. 3, pp. 546 -561, 2012. [Online]. Available: Http://www.sciencedirect. com/science/article/ pii/S0164121211001361",https://www.sciencedirect.com/science/article/pii/S0164121211001361,https://doi.org/10.1016/j.jss.2011.05.036
1,Backward,"N. Kock, Information systems action research: An applied view of emerging concepts and methods, ser. Integrated Series in Information Systems. Springer, 2007, vol. 13",https://dl.acm.org/doi/abs/10.5555/1197331,
1,Backward,"A. Lee, Action is an Artifact: What Action Research and Design Science Offer to Each Other, ser. Integrated Series in Information Systems. Boston, MA: Springer US, 2007, vol. 13, ch. 3, pp. 43-60",https://link.springer.com/content/pdf/10.1007/978-0-387-36060-7_3?pdf=chapter%20toc,https://doi.org/10.1007/978-0-387-36060-7_3
