Origin Paper,Snowballing Type,Reference,External Link,DOI
7,Backward,"Ackermann, C., et al.: Towards behavioral reflexion models. In: Software Reliability Engineering, ISSRE 2009, pp. 175–184. IEEE, November 2009",,https://doi.org/10.1109/ISSRE.2009.27
7,Backward,"Alexander, C., et al.: A Pattern Language: Towns, Buildings, Construction. Oxford University Press, Oxford (1977)",https://books.google.com/books?hl=pt-BR&lr=&id=mW7RCwAAQBAJ&oi=fnd&pg=PR5&ots=fz25V9k8_4&sig=ikgvdko6-hjLZu0VEQNx7RXOyv0,
7,Backward,"Breitenbücher, U.: Eine musterbasierte Methode zur Automatisierung des Anwendungsmanagements. Dissertation, Universität Stuttgart, Fakultät Informatik, Elektrotechnik und Informationstechnik (2016)",https://elib.uni-stuttgart.de/server/api/core/bitstreams/8a2e4b6f-ca8b-40ed-96dd-863e5b99584d/content,
7,Backward,EsperTech: Esper (2019). http://www.espertech.com/esper/,http://www.espertech.com/esper/,
7,Backward,"Fahland, D., Gierds, C.: Analyzing and completing middleware designs for enterprise integration using coloured petri nets. In: Salinesi, C., Norrie, M.C., Pastor, Ó. (eds.) CAiSE 2013. LNCS, vol. 7908, pp. 400–416. Springer, Heidelberg (2013). https://doi.org/10.1007/978-3-642-38709-8_26",,https://doi.org/10.1007/978-3-642-38709-8_26
7,Backward,"Falkenthal, M., et al.: From pattern languages to solution implementations. In: Proceedings of the 6th International Conferences on Pervasive Patterns and Applications (PATTERNS 2014), pp. 12–21. Xpert Publishing Services, May 2014",https://www.iaas.uni-stuttgart.de/publications/INPROC-2014-37-From-Pattern-Languages-to-Solution-Implementations.pdf,
7,Backward,"Fehling, C., et al.: Cloud Computing Patterns: Fundamentals to Design, Build, and Manage Cloud Applications. Springer, Heidelberg (2014). https://doi.org/10.1007/978-3-7091-1568-8",,https://doi.org/10.1007/978-3-7091-1568-8
7,Backward,Hackernoon: Designing a microservices architecture for failure (2017). hackernoon.com/designing-a-microservices-architecture-for-failure-a57f34ded646,https://hackernoon.com/designing-a-microservices-architecture-for-failure-a57f34ded646,
7,Backward,"Harrison, N., et al.: Using patterns to capture architectural decisions. Software 24(4), 38–45 (2007)",,https://doi.org/10.1109/MS.2007.124
7,Backward,"Kiczales, G., et al.: Aspect-oriented programming. In: Akşit, M., Matsuoka, S. (eds.) ECOOP 1997. LNCS, vol. 1241, pp. 220–242. Springer, Heidelberg (1997). https://doi.org/10.1007/BFb0053381",,https://doi.org/10.1007/BFb0053381
7,Backward,"Luckham, D.: The power of events: an introduction to complex event processing in distributed enterprise systems. In: Bassiliades, N., Governatori, G., Paschke, A. (eds.) RuleML 2008. LNCS, vol. 5321, p. 3. Springer, Heidelberg (2008). https://doi.org/10.1007/978-3-540-88808-6_2",,https://doi.org/10.1007/978-3-540-88808-6_2
7,Backward,"Mulo, E., et al.: Domain-specific language for event-based compliance monitoring in process-driven SOAs. SOCA 7(1), 59–73 (2013). https://doi.org/10.1007/s11761-012-0121-3",,https://doi.org/10.1007/s11761-012-0121-3
7,Backward,"Nygard, M.T.: Release It!: Design and Deploy Production-ready Software. Pragmatic Bookshelf, Raleigh (2007)",https://www.torrossa.com/it/resources/an/5241265,
7,Backward,"Oppenheimer, D.: The importance of understanding distributed system configuration. In: Proceedings of the 2003 Conference on Human Factors in Computer Systems Workshop. Citeseer (2003)",http://roc.cs.berkeley.edu/papers/dsconfig.pdf,
7,Backward,"Ritter, D., et al.: Formalizing application integration patterns. In: 2018 IEEE 22nd International Enterprise Distributed Object Computing Conference (EDOC), pp. 11–20. IEEE (2018)",,https://doi.org/10.1109/EDOC.2018.00012
7,Backward,"Rosik, J., et al.: Assessing architectural drift in commercial software development: a case study. Softw. Pract. Exp. 41(1), 63–86 (2011)",,https://doi.org/10.1002/spe.999
7,Backward,"Saatkamp, K., Breitenbücher, U., Kopp, O., Leymann, F.: An approach to automatically detect problems in restructured deployment models based on formalizing architecture and design patterns. SICS Softw.-Intensiv. Cyber-Phys. Syst. 34, 85–97 (2019). https://doi.org/10.1007/s00450-019-00397-7",,https://doi.org/10.1007/s00450-019-00397-7
7,Backward,"Stocker, M., et al.: Interface quality patterns - communicating and improving the quality of microservices APIs. In: 23rd European Conference on Pattern Languages of Programs 2018, July 2018",,https://doi.org/10.1145/3282308.3282319
7,Backward,"Wendehals, L., Orso, A.: Recognizing behavioral patterns at runtime using finite automata. In: Proceedings of the 2006 International Workshop on Dynamic Systems Analysis, pp. 33–40. ACM, May 2006",,https://doi.org/10.1145/1138912.1138920
7,Backward,"Zdun, U., Navarro, E., Leymann, F.: Ensuring and assessing architecture conformance to microservice decomposition patterns. In: Maximilien, M., Vallecillo, A., Wang, J., Oriol, M. (eds.) ICSOC 2017. LNCS, vol. 10601, pp. 411–429. Springer, Cham (2017). https://doi.org/10.1007/978-3-319-69035-3_29",,https://doi.org/10.1007/978-3-319-69035-3_29
7,Backward,"Zimmermann, O., et al.: The role of architectural decisions in model-driven service-oriented architecture construction. In: Proceedings of the OOPSLA 2006 Workshop on Best Practices and Methodologies in Service-Oriented Architectures. Unipub (2006)",https://soadecisions.org/download/SOAD-PositioningPaperv10.pdf,
7,Backward,"Zimmermann, O., Gschwind, T., Küster, J., Leymann, F., Schuster, N.: Reusable architectural decision models for enterprise application development. In: Overhage, S., Szyperski, C.A., Reussner, R., Stafford, J.A. (eds.) QoSA 2007. LNCS, vol. 4880, pp. 15–32. Springer, Heidelberg (2007). https://doi.org/10.1007/978-3-540-77619-2_2",,https://doi.org/10.1007/978-3-540-77619-2_2
7,Backward,"Zimmermann, O., et al.: Combining pattern languages and reusable architectural decision models into a comprehensive and comprehensible design method. In: Seventh Working IEEE/IFIP Conference on Software Architecture (WICSA 2008), pp. 157–166. IEEE, February 2008",,https://doi.org/10.1109/WICSA.2008.19
7,Forward,"PUFAHL, Luise; REHSE, Jana-Rebecca. Conformance checking with regulations-a research agenda. In: CEUR Workshop Proceedings. RWTH Aachen, 2021. p. 24-29.",https://ceur-ws.org/Vol-2867/paper4.pdf,
7,Forward,"AWAD, Ahmed; AWAYSHEH, Feras; LÓPEZ, Hugo A. BEST: a unified business process enactment via streams and tables for service computing. Process Science, v. 2, n. 1, p. 23, 2025.",,https://doi.org/10.1007/s44311-025-00030-8
