Origin Paper,Snowballing Type,Reference,External Link,DOI,
2,Backward,"Alshuqayran, N., Ali, N., Evans, R.: A systematic mapping study in microservice architecture. In: IEEE 9th International Conference on Service-Oriented Computing and Applications (SOCA), pp. 44–51. IEEE (2016)",,https://doi.org/10.1109/SOCA.2016.15,
2,Backward,"De, B.: API patterns. In: API Management, pp. 81–104. Apress, Berkeley, CA (2017).",,https://doi.org/10.1007/978-1-4842-1305-6_5,
2,Backward,"Guo, D., Wang, W., Zeng, G., Wei, Z.: Microservices architecture based cloudware deployment platform for service computing. In: 2016 IEEE Symposium on Service-Oriented System Engineering (SOSE), pp. 358–363. IEEE (2016)",,https://doi.org/10.1109/SOSE.2016.22,
2,Backward,"Guo, G.Y., Atlee, J.M., Kazman, R.: A software architecture reconstruction method. In: Donohoe, P. (ed.) Software Architecture. ITIFIP, vol. 12, pp. 15–33. Springer, Boston, MA (1999). ",,https://doi.org/10.1007/978-0-387-35563-4_2,
2,Backward,"Gupta, A.: Microservice design patterns (2017).",http://blog.arungupta.me/microservice-design-patterns/,,
2,Backward,"Haitzer, T., Zdun, U.: Semi-automated architectural abstraction specifications for supporting software evolution. Sci. Comput. Program. 90, 135–160 (2014)",,https://doi.org/10.1016/j.scico.2013.10.004,
2,Backward,"Hohpe, G., Woolf, B.: Enterprise Integration Patterns. Addison-Wesley, Boston (2003)",https://books.google.com/books?hl=pt-BR&lr=&id=bUlsAQAAQBAJ&oi=fnd&pg=PR7&ots=590uV1O0M4&sig=IW96tfTkbM1LXVKSyIcJKWc59vc,,
2,Backward,"Kang, H., Le, M., Tao, S.: Container and microservice driven design for cloud infrastructure DevOps. In: 2016 IEEE International Conference on Cloud Engineering (IC2E), pp. 202–211. IEEE (2016)",,https://doi.org/10.1109/IC2E.2016.26,
2,Backward,"Kratzke, N.: About microservices, containers and their underestimated impact on network performance. In: Proceedings of Cloud Computing, pp. 165–169 (2015)",,https://doi.org/10.48550/arXiv.1710.04049,
2,Backward,"Kurhinen, H., Lampi, M.: Micro-services based distributable workflow for digital archives. In: Archiving Conference, vol. 1, pp. 47–51. Society for Imaging Science and Tech. (2014)",,https://doi.org/10.2352/issn.2168-3204.2014.11.1.art00011,
2,Backward,"de Lange, P., Nicolaescu, P., Derntl, M., Jarke, M., Klamma, R.: Community application editor: collaborative near real-time modeling and composition of microservice-based web applications. In: Modellierung (Workshops), pp. 123–128 (2016)",https://dl.gi.de/items/ab88e4d9-a6cf-4798-a4e1-c9758380ee57,,
2,Backward,"Le, V.D., Neff, M.M., Stewart, R.V., Kelley, R., Fritzinger, E., Dascalu, S.M., Harris, F.C.: Microservice-based architecture for the NRDC. In: 2015 IEEE 13th International Conference on Industrial Informatics (INDIN), pp. 1659–1664. IEEE (2015)",,https://doi.org/10.1109/INDIN.2015.7281983,
2,Backward,"Levcovitz, A., Terra, R., Valente, M.T.: Towards a technique for extracting microservices from monolithic enterprise systems. arXiv preprint arXiv:1605.03175 (2016)",,https://doi.org/10.48550/arXiv.1605.03175,
2,Backward,"Lewis, J., Fowler, M.: Microservices: a definition of this new architectural term, March 2004. http://martinfowler.com/articles/microservices.html",http://martinfowler.com/articles/microservices.html,,
2,Backward,"Newman, S.: Building Microservices: Designing Fine-Grained Systems. O’Reilly, New York (2015)",,,
2,Backward,"Pahl, C., Jamshidi, P.: Microservices: a systematic mapping study. In: 6th International Conference on Cloud Computing and Services Science, pp. 137–146 (2016)",,https://doi.org/10.5220/0005785501370146,
2,Backward,"Passos, L., Terra, R., Valente, M.T., Diniz, R., das ChagasMendonca, N.: Static architecture-conformance checking: an illustrative overview. IEEE Softw. 27(5), 82–89 (2010)",,https://doi.org/10.1109/MS.2009.117,
