Origin Paper,Snowballing Type,Reference,External Link,DOI
18,Backward,"Godfrey, M.W., German, D.M.: The past, present, and future of software evolution. In: 2008 Frontiers of Software Maintenance, pp. 129–138. IEEE (2008)",,https://doi.org/10.1109/FOSM.2008.4659256
18,Backward,"Whiting, E., Andrews, S.: Drift and erosion in software architecture: summary and prevention strategies. In: Proceedings of the 2020 the 4th International Conference on Information System and Data Mining, pp. 132–138 (2020)",,https://doi.org/10.1145/3404663.3404665
18,Backward,"Baum, D., Dietrich, J., Anslow, C., Müller, R.: Visualizing design erosion: how big balls of mud are made. In: 2018 IEEE Working Conference on Software Visualization (VISSOFT), pp. 122–126. IEEE (2018)",,https://doi.org/10.1109/VISSOFT.2018.00022
18,Backward,"Rios, N., Spínola, R.O., Mendonça, M., Seaman, C.: The most common causes and effects of technical debt: first results from a global family of industrial surveys. In: Proceedings of the 12th ACM/IEEE International Symposium on Empirical Software Engineering and Measurement, pp. 1–10 (2018)",,https://doi.org/10.1145/3239235.3268917
18,Backward,"De Silva, L., Balasubramaniam, D.: Controlling software architecture erosion: a survey. J. Syst. Softw. 85(1), 132–151 (2012)",,https://doi.org/10.1016/j.jss.2011.07.036
18,Backward,"Dragoni, N., Giallorenzo, S., Lafuente, A.L., Mazzara, M., Montesi, F., Mustafin, R., Safina, L.: Microservices: yesterday, today, and tomorrow. In: Present and Ulterior Software Engineering, pp. 195–216. Springer, Cham (2017). https://doi.org/10.1007/978-3-319-67425-4_12",,https://doi.org/10.1007/978-3-319-67425-4_12
18,Backward,"Newman, S.: Building Microservices. O’Reilly Media, Inc., Newton (2021)",,
18,Backward,"Bogner, J., Fritzsch, J., Wagner, S., Zimmermann, A.: Limiting technical debt with maintainability assurance: an industry survey on used techniques and differences with service-and microservice-based systems. In: Proceedings of the 2018 International Conference on Technical Debt, pp. 125–133 (2018)",,https://doi.org/10.1145/3194164.3194166
18,Backward,"Bogner, J., Wagner, S., Zimmermann, A.: Automatically measuring the maintainability of service-and microservice-based systems: a literature review. In: Proceedings of the 27th International Workshop on Software Measurement and 12th International Conference on Software Process and Product Measurement, pp. 107–115 (2017)",,https://doi.org/10.1145/3143434.3143443
18,Backward,"Zdun, U., Navarro, E., Leymann, F.: Ensuring and assessing architecture conformance to microservice decomposition patterns. In: Maximilien, M., Vallecillo, A., Wang, J., Oriol, M. (eds.) ICSOC 2017. LNCS, vol. 10601, pp. 411–429. Springer, Cham (2017). https://doi.org/10.1007/978-3-319-69035-3_29",,https://doi.org/10.1007/978-3-319-69035-3_29
18,Backward,"Walker, A., Das, D., Cerny, T.: Automated code-smell detection in microservices through static analysis: a case study. Appl. Sci. 10(21), 7800 (2020)",,https://doi.org/10.3390/app10217800
18,Backward,"Ma, S.-P., Fan, C.-Y., Chuang, Y., Liu, I.-H., Lan, C.-W.: Graph-based and scenario-driven microservice analysis, retrieval, and testing. Futur. Gener. Comput. Syst. 100, 724–735 (2019)",,https://doi.org/10.1016/j.future.2019.05.048
18,Backward,"de Toledo, S.S., Martini, A., Przybyszewska, A., Sjøberg, D.I.: Architectural technical debt in microservices: a case study in a large company. In: 2019 IEEE/ACM International Conference on Technical Debt, pp. 78–87. IEEE (2019)",,https://doi.org/10.1109/TechDebt.2019.00026
18,Backward,"Ducasse, S., Pollet, D.: Software architecture reconstruction: a process-oriented taxonomy. IEEE Trans. Softw. Eng. 35(4), 573–591 (2009)",,https://doi.org/10.1109/TSE.2009.19
18,Backward,"Cerny, T., Abdelfattah, A.S., Bushong, V., Al Maruf, A., Taibi, D.: Microservice architecture reconstruction and visualization techniques: a review. In: 2022 IEEE International Conference on Service-Oriented System Engineering (SOSE), pp. 39–48. IEEE (2022)",,https://doi.org/10.1109/SOSE55356.2022.00011
18,Backward,"Bushong, V., Das, D., Al Maruf, A., Cerny, T.: Using static analysis to address microservice architecture reconstruction. In: 2021 36th IEEE/ACM International Conference on Automated Software Engineering (ASE), pp. 1199–1201. IEEE (2021)",,https://doi.org/10.1109/ASE51524.2021.9678749
18,Backward,"Bushong, V., Das, D., Cernỳ, T.: Reconstructing the holistic architecture of microservice systems using static analysis. In: CLOSER, pp. 149–157 (2022)",,http://doi.org/10.5220/0011032100003200
18,Backward,"Barnes, J.M., Garlan, D., Schmerl, B.: Evolution styles: foundations and models for software architecture evolution. Softw. Syst. Model. 13, 649–678 (2014)",,https://doi.org/10.1007/s10270-012-0301-9
18,Backward,"Moreira, M.G., De França, B.B.N.: Analysis of microservice evolution using cohesion metrics. In: Proceedings of the 16th Brazilian Symposium on Software Components, Architectures, and Reuse, pp. 40–49 (2022)",,https://doi.org/10.1145/3559712.3559716
18,Backward,"Tizzei, L.P., Azevedo, L., Soares, E., Thiago, R., Costa, R.: On the maintenance of a scientific application based on microservices: an experience report. In: 2020 IEEE International Conference on Web Services (ICWS), pp. 102–109. IEEE (2020)",,https://doi.org/10.1109/ICWS49710.2020.00021
18,Backward,"Sampaio, A.R., et al.: Supporting microservice evolution. In: 2017 IEEE International Conference on Software Maintenance and Evolution (ICSME), pp. 539–543. IEEE (2017)",,https://doi.org/10.1109/ICSME.2017.63
18,Backward,"He, X., Shao, Z., Wang, T., Shi, H., Chen, Y., Wang, Z.: Predicting effect and cost of microservice system evolution using graph neural network. In: Monti, F., Rinderle-Ma, S., Ruiz Cortes, A., Zheng, Z., Mecella, M. (eds.) International Conference on Service-Oriented Computing, pp. 103–118. Springer, Heidelberg (2023). https://doi.org/10.1007/978-3-031-48421-6_8",,https://doi.org/10.1007/978-3-031-48421-6_8
18,Backward,"Stocker, M., Zimmermann, O.: From code refactoring to API refactoring: agile service design and evolution. In: Barzen, J. (ed.) SummerSOC 2021. CCIS, vol. 1429, pp. 174–193. Springer, Cham (2021). https://doi.org/10.1007/978-3-030-87568-8_11",,https://doi.org/10.1007/978-3-030-87568-8_11
18,Backward,"Lercher, A., Glock, J., Macho, C., Pinzger, M.: Microservice api evolution in practice: a study on strategies and challenges. arXiv:2311.08175 (2023)",,https://doi.org/10.1016/j.jss.2024.112110
18,Backward,"Assunção, W.K., Krüger, J., Mosser, S., Selaoui, S.: How do microservices evolve? an empirical analysis of changes in open-source microservice repositories. J. Syst. Softw. 204, 111788 (2023)",,https://doi.org/10.1016/j.jss.2023.111788
