Origin Paper,Snowballing Type,Reference,External Link,DOI,
3,Backward,"Allen, E.B., Gottipati, S., Govindarajan, R.: Measuring size, complexity, and coupling of hypergraph abstractions of software: an information-theory approach. Softw. Qual. J. (2), 179–212. https://doi.org/10.1007/s11219-006-9010-3",,https://doi.org/10.1007/s11219-006-9010-3,
3,Backward,"Allen, E.B., Gottipati, S., Govindarajan, R.: Measuring size, complexity, and coupling of hypergraph abstractions of software: an information-theory approach. Softw. Qual. J. 15, 179–212 (2006)",,https://doi.org/10.1007/s11219-006-9010-3,
3,Backward,"Bansiya, J., Davis, C.G.: A hierarchical model for object-oriented design quality assessment. IEEE Trans. Softw. Eng. 28(1), 4–17 (2002)",,https://doi.org/10.1109/32.979986,
3,Backward,"Basili, V.R., Briand, L.C., Melo, W.L.: A validation of object-oriented design metrics as quality indicators. IEEE Trans. Softw. Eng. 22(10), 751–761 (1996)",,https://doi.org/10.1109/32.544352,
3,Backward,"Bogner, J., Wagner, S., Zimmermann, A.: Towards a practical maintainability quality model for service-and microservice-based systems, pp. 195–198, September 2017",,https://doi.org/10.1145/3129790.3129816,
3,Backward,"Chidamber, S.R., Kemerer, C.F.: A metrics suite for object oriented design. IEEE Trans. Softw. Eng. 20(6), 476–493 (1994)",,https://doi.org/10.1109/32.295895,
3,Backward,"Corbin, J., Strauss, A.L.: Grounded theory research: procedures, canons, and evaluative criteria. Qual. Sociol. 13, 3–20 (1990)",,https://doi.org/10.1007/BF00988593,
3,Backward,"Frank, E., Harrell, J.: Regression Modeling Strategies: With Applications to Linear Models, Logistic and Ordinal Regression, and Survival Analysis, 2nd edn. Springer, Heidelberg (2013)",https://link.springer.com/book/10.1007/978-1-4757-3462-1,,
3,Backward,"Garousi, V., Felderer, M., Mäntylä, M.V.: Guidelines for including the grey literature and conducting multivocal literature reviews in software engineering. CoRR",,https://doi.org/10.1016/j.infsof.2018.09.006,
3,Backward,"Goldstein, M., Moshkovich, D.: Improving software through automatic untangling of cyclic dependencies. In: Association for Computing Machinery, New York, NY, USA (2014)",,https://doi.org/10.1145/2591062.2591182,
3,Backward,"Harrison, R., Counsell, S.J., Nithi, R.V.: An evaluation of the mood set of object-oriented software metrics. IEEE Trans. Softw. Eng. 24(6), 491–496 (1998)",,https://doi.org/10.1109/32.689404,
3,Backward,"Haselböck, S., Weinreich, R., Buchgeher, G.: Decision models for microservices: design areas, stakeholders, use cases, and requirements. In: Lopes, A., de Lemos, R. (eds.) ECSA 2017. LNCS, vol. 10475, pp. 155–170. Springer, Cham (2017). https://doi.org/10.1007/978-3-319-65831-5_11",,https://doi.org/10.1007/978-3-319-65831-5_11,
3,Backward,"Hohpe, G., Woolf, B.: Enterprise Integration Patterns. Addison-Wesley, Boston (2003)",https://books.google.com/books?hl=pt-BR&lr=&id=bUlsAQAAQBAJ&oi=fnd&pg=PR7&ots=590uW2M1K7&sig=5_p6-N-7h57zyYQ0Mmj9jTy0nTg,,
3,Backward,"Lewis, J., Fowler, M.: Microservices: a definition of this new architectural term, March 2004. http://martinfowler.com/articles/microservices.html",http://martinfowler.com/articles/microservices.html,,
3,Backward,"Newman, S.: Building Microservices: Designing Fine-Grained Systems. O’Reilly, Sebastapol (2015)",,,
3,Backward,"Pahl, C., Jamshidi, P.: Microservices: a systematic mapping study. In: 6th International Conference on Cloud Computing and Services Science, pp. 137–146 (2016)",,https://doi.org/10.5220/0005785501370146,
3,Backward,"Pautasso, C., Wilde, E.: Why is the web loosely coupled?: a multi-faceted metric for service design. In: 18th International Conference on World Wide Web, pp. 911–920. ACM (2009)",,https://doi.org/10.1145/1526709.1526832,
3,Backward,"Richardson, C.: A pattern language for microservices (2017). http://microservices.io/patterns/index.html",http://microservices.io/patterns/index.html,,
3,Backward,"Skowronski, J.: Best practices for event-driven microservice architecture (2019). https://hackernoon.com/best-practices-for-event-driven-microservice-architecture-e034p21lk",https://hackernoon.com/best-practices-for-event-driven-microservice-architecture-e034p21lk,,
3,Backward,"Taibi, D., Lenarduzzi, V.: On the definition of microservice bad smells. IEEE Softw. 35(3), 56–62 (2018)",,https://doi.org/10.1109/MS.2018.2141031,
3,Backward,"Zdun, U., Navarro, E., Leymann, F.: Ensuring and assessing architecture conformance to microservice decomposition patterns. In: Maximilien, M., Vallecillo, A., Wang, J., Oriol, M. (eds.) ICSOC 2017. LNCS, vol. 10601, pp. 411–429. Springer, Cham (2017). https://doi.org/10.1007/978-3-319-69035-3_29",,https://doi.org/10.1007/978-3-319-69035-3_29,
3,Backward,"Zimmermann, O.: Microservices tenets. Comput. Sci. - Res. Dev., 301–310 (2016). https://doi.org/10.1007/s00450-016-0337-0",,https://doi.org/10.1007/s00450-016-0337-0,
3,Backward,"Zimmermann, O., Stocker, M., Zdun, U., Luebke, D., Pautasso, C.: Microservice API patterns (2019). https://microservice-api-patterns.org",https://microservice-api-patterns.org/,,
3,Forward,"GAOL, Ford Lumban et al. Microservices Design Pattern in Action: Improving Modifiability in Microservices-Based Software Development. IEEE Access, 2025.",,https://doi.org/10.1109/ACCESS.2025.3610272,
3,Forward,"APOLINÁRIO, Daniel RF; DE FRANÇA, Breno BN. A method for monitoring the coupling evolution of microservice-based architectures. Journal of the Brazilian Computer Society, v. 27, n. 1, p. 17, 2021.",,https://doi.org/10.1186/s13173-021-00120-y,
3,Forward,"KAZANAVIČIUS, Justas; MAŽEIKA, Dalius; KALIBATIENĖ, Diana. An approach to migrate a monolith database into multi-model polyglot persistence based on microservice architecture: A case study for mainframe database. Applied Sciences, v. 12, n. 12, p. 6189, 2022.",,https://doi.org/10.3390/app12126189,
3,Forward,"XING, Yongchao et al. Catalog, Impact, and Evaluation of Microservice Bad Smells: A Systematic Literature Review. Software: Practice and Experience, 2026.",,https://doi.org/10.1002/spe.70053,
3,Forward,"PUSZTAI, Thomas; ROSSI, Fabiana; DUSTDAR, Schahram. Pogonip: Scheduling asynchronous applications on the edge. In: 2021 IEEE 14th International Conference on Cloud Computing (CLOUD). IEEE, 2021. p. 660-670.",,https://doi.org/10.1109/CLOUD53861.2021.00085,
3,Forward,"NTENTOS, Evangelos et al. Semi-automatic feedback for improving architecture conformance to microservice patterns and practices. In: 2021 IEEE 18th International Conference on Software Architecture (ICSA). IEEE, 2021. p. 36-46.",,https://doi.org/10.1109/ICSA51549.2021.00012,
3,Forward,"GENFER, Patric; ZDUN, Uwe. Exploring architectural evolution in microservice systems using repository mining techniques and static code analysis. In: European Conference on Software Architecture. Cham: Springer Nature Switzerland, 2024. p. 157-173.",,https://doi.org/10.1007/978-3-031-70797-1_10,
3,Forward,"LICHTENTHÄLER, Robin; WIRTZ, Guido. Formulating a quality model for cloud-native software architectures: conceptual and methodological considerations. Cluster Computing, v. 27, n. 4, p. 4077-4093, 2024.",,https://doi.org/10.1007/s10586-024-04343-4,
3,Forward,"QUÉVAL, Pierre-Jean; ZDUN, Uwe. Extracting the architecture of microservices: An approach for explainability and traceability. In: European Conference on Software Architecture. Cham: Springer Nature Switzerland, 2023. p. 346-353.",,https://doi.org/10.1007/978-3-031-42592-9_24, 
3,Forward,"SINGJAI, Apitchaka; ZDUN, Uwe. Conformance assessment of Architectural Design Decisions on API endpoint designs derived from domain models. Journal of Systems and Software, v. 193, p. 111433, 2022.",,https://doi.org/10.1016/j.jss.2022.111433,
3,Forward,"SUN, Chang-Ai et al. Detecting inconsistencies in microservice-based systems: An annotation-assisted scenario-oriented approach. IEEE Transactions on Services Computing, v. 17, n. 5, p. 2194-2209, 2024.",,https://doi.org/10.1109/TSC.2024.3399652,
3,Forward,"FARSI, Hassan et al. A graph-based solution to deal with cyclic dependencies in microservices architecture. In: 2022 9th International Conference on Future Internet of Things and Cloud (FiCloud). IEEE, 2022. p. 254-259.",,https://doi.org/10.1109/FiCloud57274.2022.00042,
3,Forward,"FALAZI, Ghareeb et al. Compliance Management of IaC-Based Cloud Deployments During Runtime. In: Proceedings of the IEEE/ACM 16th International Conference on Utility and Cloud Computing. 2023. p. 1-11.",,https://doi.org/10.1145/3603166.3632135,
3,Forward,"HE, Xiang et al. MicroForge: An Integrated Platform for Accelerating Experiments in Microservice Research With the Universal Evolution Model. IEEE Transactions on Services Computing, 2025.",,https://doi.org/10.1109/TSC.2025.3608160,
3,Forward,"PRIMADANI, Claudia Cahya; LEE, Seonah. An Integrated Metric for Modularity in a Microservice System. In: 2025 25th International Conference on Software Quality, Reliability and Security (QRS). IEEE, 2025. p. 802-813.",,https://doi.org/10.1109/QRS65678.2025.00083,
3,Forward,"HE, Xiang et al. Rescureservice: A benchmark microservice system for the research of mobile edge and cloud computing. arXiv preprint arXiv:2212.11758, 2022.",,https://doi.org/10.48550/arXiv.2212.11758,
3,Forward,"GINTORO, Gintoro; SUNARDI, Sunardi. Strategies, characteristics, and research gaps for improving microservices coupling design. Bulletin of Electrical Engineering and Informatics, v. 14, n. 3, p. 2429-2437, 2025.",,https://doi.org/10.11591/eei.v14i3.9099,
3,Forward,"ZAFAR, Faizan. Investigating Quality Attributes and Best Practices of Microservices Architectures. 2022.",https://swc.rwth-aachen.de/docs/bachelor-master-theses/2022-015-MT_Zafar/2022-11-07%20MT%20Faizan%20Zafar%20-%20Thesis%20Report.pdf,,
3,Forward,"IDOWU, Oyetola Florence; OMIYALE, Abolade David. Comparative Evaluation of Flask and web2py for AI Microservices: An Empirical Benchmark on Model-Inference Workloads. ABUAD Journal of Engineering Research and Development (AJERD), v. 9, n. 1, p. 12-27, 2026.",,https://doi.org/10.53982/ajerd.2026.0901.02-j,
3,Forward,"AGOSTINI, Michele et al. Detecting and Resolving Bad Organisational Smells for Microservices. In: ICSOFT. 2024. p. 67-78.",,http://doi.org/10.5220/0012851200003753,
3,Forward,"SINGJAI, Apitchaka; ZDUN, Uwe. API description-based conformance assessment of architectural design decision. In: 2022 IEEE International Conference on Service-Oriented System Engineering (SOSE). IEEE, 2022. p. 59-68.",,https://doi.org/10.1109/SOSE55356.2022.00013,
3,Forward,"PUSZTAI, Thomas Werner. Ensuring Service Level Objective Adherence in the Edge-Cloud Continuum. 2025. Tese de Doutorado. Technische Universität Wien.",,https://doi.org/10.34726/hss.2025.127440,
3,Forward,"MONFLEUR, Hugo. Concern-Oriented MicroService Architecture: Language, Library, Toolbox, and Evaluation. 2025. Tese de Doutorado. Inria.",https://theses.hal.science/tel-05442740/,,
3,Forward,"ILK, Jonathan. A simulation approach to assess microservice applications. 2023.",https://swc.rwth-aachen.de/docs/bachelor-master-theses/2023-003-MT_Ilk/2023-04-06%20MT%20Jonathan%20Ilk%20-%20Thesis%20Report.pdf,,
