Origin Paper,Snowballing Type,Reference,External Link,DOI
15,Backward,"Basili V.R., Weiss D.M. A methodology for collecting valid software engineering data IEEE Trans. Softw. Eng., SE-10 (6) (1984), pp. 728-738, 10.1109/TSE.1984.5010301",,https://doi.org/10.1109/TSE.1984.5010301
15,Backward,"Breivold H.P., Crnkovic I. Analysis of software evolvability in quality models 2009 35th Euromicro Conference on Software Engineering and Advanced Applications, IEEE (2009), pp. 279-282",,https://doi.org/10.1109/SEAA.2009.10
15,Backward,"Canfora G., Cerulo L., Troiano L. Transforming quantities into qualities in assessment of software systems Proceedings 27th Annual International Computer Software and Applications Conference. COMPAC 2003, IEEE (2003), pp. 312-319",,https://doi.org/10.1109/CMPSAC.2003.1245359
15,Backward,Cliff N. Ordinal Methods for Behavioral Data Analysis Psychology Press (2014),https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9781315806730&type=googlepdf,
15,Backward,Daigneau R. Service Design Patterns: Fundamental Design Solutions for SOAP/WSDL and RESTful Web Services Addison-Wesley (2011),https://books.google.com/books?hl=pt-BR&lr=&id=tK3_vB304bEC&oi=fnd&pg=PR7&ots=Dg8hFDp-zN&sig=dLBvw8r8ygizKXI0ZqHx2fshGtg,
15,Backward,"Deissenboeck F., Heinemann L., Hummel B., Juergens E. Flexible architecture conformance assessment with ConQAT 2010 ACM/IEEE 32nd International Conference on Software Engineering, Vol. 2 (2010), pp. 247-250, 10.1145/1810295.1810343",,https://doi.org/10.1145/1810295.1810343
15,Backward,"Evans E. Domain-Driven Design: Tacking Complexity in the Heart of Software Addison-Wesley, Reading, MA. (2003)",,
15,Backward,"Evans E. DDD and microservices: At last, some boundaries! (2016) https://www.youtube.com/watch?v=sFCgXH7DwxM",https://www.youtube.com/watch?v=sFCgXH7DwxM,
15,Backward,"Fan C.-Y., Ma S.-P. Migrating monolithic mobile application to microservice architecture: An experiment report 2017 IEEE International Conference on AI & Mobile Services (AIMS), IEEE (2017), pp. 109-112",,https://doi.org/10.1109/AIMS.2017.23
15,Backward,"Fowler M. Patterns of Enterprise Application Architecture Addison-Wesley, USA (2002)",,
15,Backward,"Garousi V., Felderer M., Mäntylä M.V., Rainer A. Benefitting from the grey literature in software engineering research Contemporary Empirical Methods in Software Engineering, Springer (2020), pp. 385-413",,https://doi.org/10.1007/978-3-030-32489-6_14
15,Backward,"Glaser B.G., Strauss A.L. The Discovery of Grounded Theory: Strategies for Qualitative Research de Gruyter, New York, NY (1967)",https://api.taylorfrancis.com/content/books/mono/download?identifierName=doi&identifierValue=10.4324/9780203793206&type=googlepdf,
15,Backward,Google. DevOps tech: Architecture (2021),https://cloud.google.com/architecture/devops/devops-tech-architecture,
15,Backward,"Hohpe G., Woolf B. Enterprise Integration Patterns: Designing, Building, and Deploying Messaging Solutions. Addison-Wesley (2003)",https://books.google.com/books?hl=pt-BR&lr=&id=bUlsAQAAQBAJ&oi=fnd&pg=PR7&ots=590u_3J_Q8&sig=p0vcBkfAb2ZOZ2pyfJnuL7EDDUQ,
15,Backward,"Kapferer S., Zimmermann O. Domain-specific language and tools for strategic domain-driven design, context mapping and bounded context modeling. Proceedings of the 8th International Conference on Model-Driven Engineering and Software Development, MODELSWARD 2020, Valletta, Feb 2020, ScitePress (2020), pp. 299-306, 10.5220/0008910502990306",,https://doi.org/10.5220/0008910502990306
15,Backward,"Kitchenham B., Madeyski L., Budgen D., Keung J., Brereton P., Charters S., Gibbs S., Pohthong A. Robust statistical methods for empirical software engineering. Empir. Softw. Eng., 22 (2) (2017), pp. 579-630",,https://doi.org/10.1007/s10664-016-9437-5
15,Backward,"Larichev O., Moskovich H. Unstructured problems and development of prescriptive decision making methods. Advances in Multicriteria Analysis, Springer (1995), pp. 47-80",,https://doi.org/10.1007/978-1-4757-2383-0_4
15,Backward,"Lee L., Kruchten P. A tool to visualize architectural design decisions. International Conference on the Quality of Software Architectures, Springer (2008), pp. 43-54",,https://doi.org/10.1007/978-3-540-87879-7_3
15,Backward,"Lourenço J.a.R., Cabral B., Carreiro P., Vieira M., Bernardino J. Choosing the right NoSQL database for the job: a quality attribute evaluation. J. Big Data, 2 (1) (2015), pp. 1-26",,https://doi.org/10.1186/s40537-015-0025-0
15,Backward,"Lübke, D., Zimmermann, O., Pautasso, C., Zdun, U., Stocker, M., 2019. Interface evolution patterns: balancing compatibility and extensibility across service life cycles. In: Proceedings of the 24th European Conference on Pattern Languages of Programs, pp. 1–24.",,https://doi.org/10.1145/3361149.3361164
15,Backward,"Merson P., Yoder J. Modeling microservices with DDD. 2020 IEEE International Conference on Software Architecture Companion (ICSA-C), IEEE (2020), pp. 7-8",,https://doi.org/10.1109/ICSA-C50368.2020.00010
15,Backward,Newman S. Building Microservices: Designing Fine-Grained Systems. O’Reilly (2015),,
15,Backward,Nguyen C.D. A design analysis of cloud-based microservices architecture at netflix. (2020),https://medium.com/swlh/a-design-analysis-of-cloud-based-microservices-architecture-at-netflix-98836b2da45fe,
15,Backward,"Ntentos E., Zdun U., Plakidas K., Genfer P., Geiger S., Meixner S., Hasselbring W. Detector-based component model abstraction for microservice-based systems. Computing, 103 (2021), pp. 2521-2551",,https://doi.org/10.1007/s00607-021-01002-z
