Origin Paper,Snowballing Type,Reference,External Link,DOI
9,Backward,"C. Pahl and P. Jamshidi, “Microservices: A systematic mapping study,” in 6th International Conference on Cloud Computing and Services Science, 2016, pp. 137 - 146.",,http://doi.org/10.5220/0005785501370146
9,Backward,"C. Pautasso and E. Wilde, “Why is the web loosely coupled?: a multifaceted metric for service design,” in 18th Int. Conf. on World wide web. ACM, 2009, pp. 911 - 920.",,https://doi.org/10.1145/1526709.1526832
9,Backward,"C. Richardson, “A pattern language for microservices,” http://microservices.io/patterns/index.html, 2017.",http://microservices.io/patterns/index.html,
9,Backward,"O. Zimmermann, T. Gschwind, J. Küster, F. Leymann, and N. Schuster, “Reusable architectural decision models for enterprise application development,” in Int. Conf. on the Quality of Software Architectures. Springer, 2007, pp. 15 - 32.",,https://doi.org/10.1007/978-3-540-77619-2_2
9,Backward,"O. Zimmermann, “Microservices tenets,” Computer Science - Research and Development, vol. 32, no. 3, pp. 301 - 310, Jul 2017.",,https://doi.org/10.1007/s00450-016-0337-0
9,Backward,"C. Pautasso, O. Zimmermann, M. Amundsen, J. Lewis, and N. Josuttis, “Microservices in practice, part 1: Reality check and service design,” IEEE Software, vol. 34, no. 1, pp. 91 - 98, Jan 2017.",,https://doi.org/10.1109/MS.2017.24
9,Backward,"O. Zimmermann, M. Stocker, U. Zdun, D. Luebke, and C. Pautasso, “Microservice API patterns,” https://microservice-api-patterns.org, 2019.",https://microservice-api-patterns.org,
9,Backward,"J. Skowronski, “Best practices for event-driven microservice architecture,” https://hackernoon.com/best-practices-for-event-driven-microservice-architecture-e034p211k, 2019.",https://hackernoon.com/best-practices-for-event-driven-microservice-architecture-e034p211k,
9,Backward,"E. Ntentos, U. Zdun, K. Plakidas, S. Meixner, and S. Geiger, “Assessing architecture conformance to coupling-related patterns and practices in microservices,” in 14th European Conference on Software Architecture (ECSA), 2020, September 2020. [Online]. Available: http://eprints.cs.univie.ac.at/6478/",,https://doi.org/10.1007/978-3-030-58923-3_1
9,Backward,"E. Ntentos, U. Zdun, K. Plakidas, S. Meixner, and S. Geiger, “Metrics for assessing architecture conformance to microservice architecture patterns and practices,” in 18th International Conference on Service Oriented Computing (ICSOC 2020), December 2020. [Online]. Available: http://eprints.cs.univie.ac.at/6479/",,https://doi.org/10.1007/978-3-030-65310-1_42
9,Backward,"G. Hohpe and B. Woolf, Enterprise Integration Patterns. Addison-Wesley, 2003.",,
9,Backward,"M. Goldstein and D. Moshkovich, “Improving software through automatic untangling of cyclic dependencies.” New York, NY, USA : Association for Computing Machinery, 2014.",,https://doi.org/10.1145/2591062.2591182
9,Backward,"J. Lewis and M. Fowler, “Microservices: a definition of this new architectural term,” http://martinfowler.com/articles/microservices.html, Mar. 2004.",http://martinfowler.com/articles/microservices.html,
9,Backward,"D. Taibi and V. Lenarduzzi, “On the definition of microservice bad smells,” IEEE Software, vol. 35, no. 3, pp. 56 - 62, 2018.",,https://doi.org/10.1109/MS.2018.2141031
9,Backward,"J. Garcia, D. Popescu, G. Edwards, and N. Medvidovic, “Identifying architectural bad smells,” in 2009 13th European Conference on Software Maintenance and Reengineering, 2009, pp. 255 - 258.",,https://doi.org/10.1109/CSMR.2009.59
9,Backward,"J. Garcia, D. Popescu, G. Edwards, and N. Medvidovic, “Toward a catalogue of architectural bad smells,” in Architectures for Adaptive Software Systems, R. Mirandola, I. Gorton, and C. Hofmeister, Eds. Berlin, Heidelberg : Springer Berlin Heidelberg, 2009, pp. 146 - 162.",,https://doi.org/10.1007/978-3-642-02351-4_10
9,Backward,"D. M. Le, D. Link, A. Shahbazian, and N. Medvidovic, “An empirical study of architectural decay in open-source software,” in 2018 IEEE International Conference on Software Architecture (ICSA), 2018, pp. 176 - 17609.",,https://doi.org/10.1109/ICSA.2018.00027
9,Backward,"R. Marinescu, “Detection strategies: metrics-based rules for detecting design flaws,” in 20th IEEE International Conference on Software Maintenance, 2004. Proceedings., 2004, pp. 350 - 359.",,https://doi.org/10.1109/ICSM.2004.1357820
9,Backward,"J. Garcia, D. Popescu, C. Mattmann, N. Medvidovic, and Yuanfang Cai, “Enhancing architectural recovery using concerns,” in 2011 26th IEEE/ACM International Conference on Automated Software Engineering (ASE 2011), 2011, pp. 552 - 555.",,https://doi.org/10.1109/ASE.2011.6100123
9,Backward,"G. Granchelli, M. Cardarelli, P. Di Francesco, I. Malavolta, L. Iovino, and A. Di Salle, “Microart: A software architecture recovery tool for maintaining microservice-based systems,” in 2017 IEEE International Conference on Software Architecture Workshops (ICSAW), 2017, pp. 298 - 302.",,https://doi.org/10.1109/ICSAW.2017.9
9,Backward,"N. Alshuqayran, N. Ali, and R. Evans, “Towards micro service architecture recovery: An empirical study,” in 2018 IEEE International Conference on Software Architecture (ICSA), 2018, pp. 47 - 4709.",,https://doi.org/10.1109/ICSA.2018.00014
9,Backward,"D. Neri, J. Soldani, O. Zimmermann, and A. Brogi, “Design principles, architectural smells and refactorings for microservices: a multivocal review,” SICS Software-Intensive Cyber-Physical Systems, vol. 35, no. 1-2, p. 3 - 15, Sep 2019. [Online]. Available: http://dx.doi.org/10.1007/s00450-019-00407-8",,https://doi.org/10.1007/s00450-019-00407-8
9,Forward,"LELOVIC, Luka et al. Change impact analysis in microservice systems: A systematic literature review. Journal of Systems and Software, v. 219, p. 112241, 2025.",,https://doi.org/10.1016/j.jss.2024.112241
9,Forward,"BAKHTIN, Alexander et al. Tools reconstructing microservice architecture: A systematic mapping study. In: European Conference on Software Architecture. Cham: Springer Nature Switzerland, 2023. p. 3-18.",,https://doi.org/10.1007/978-3-031-66326-0_1
9,Forward,"MICHAEL AYAS, Hamdy; LEITNER, Philipp; HEBIG, Regina. An empirical study of the systemic and technical migration towards microservices. Empirical Software Engineering, v. 28, n. 4, p. 85, 2023.",,https://doi.org/10.1007/s10664-023-10308-9
