bibtex_key,title,author,journal,year,source,pages,volume,abstract,document_type,doi,url,affiliation,author_keywords,keywords,publisher,issn,language,note,selection_criteria,status,comments
,CEUR Workshop Proceedings,,CEUR Workshop Proceedings,2017,Scopus,,1920,"The proceedings contain 41 papers. The topics discussed include: replay using recomposition: alignment-based conformance checking in the large; DPIL Navigator 2.0: multi-perspective declarative process execution; design it like Darwin 2.0 an evolutionary algorithm for automatic process redesign; NLP4BPM - natural language processing tools for business process management; improving interactivity in multidimensional process mining: the interactive PMCube explorer tool; SPOT: simulation and evaluation of real time locating system data; online conformance checking for Petri nets and event streams; the process checklist generator: establishing paper-based process support; predictive analysis of BPM tasks with autoCEP; heuristic mining revamped: an interactive, data-aware, and conformance-aware miner; PALIA-ER: bringing question-driven process mining closer to the emergency room; testing event-driven applications with automatically generated events; CJM-ex: goal-oriented exploration of customer journey maps using event logs and data analytics; a model-driven framework for domain specific process design and governance; and a tool for checking soundness of decision-aware business processes.",Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030089077&partnerID=40&md5=72d0b2179cd6f72db9c86d224bcebb16,,,,,,,Cited by: 0,,Unclassified,
,"15th International Conference on Service-Oriented Computing, ICSOC 2017",,Lecture Notes in Computer Science,2017,Scopus,,10601 LNCS,The proceedings contain 53 papers. The special focus in this conference is on Service-Oriented Computing. The topics include: Confidence-aware reputation bootstrapping in composite service environments; compound trace clustering to generate accurate and simple sub-process models; an approach to modeling and discovering event correlation for service collaboration; energy efficient scheduling of application components via brownout and approximate markov decision process; predicting the available bandwidth on intra cloud network links for deadline constrained workflow scheduling in public clouds; inferring calling relationship based on external observation for microservice architecture; a QoS-aware resource allocation controller for function as a service (FaaS) platform; probabilistic qualitative preference matching in long-term IaaS composition; an embedding based factorization machine approach for web service QoS prediction; RISE: Resolution of identity through similarity establishment on unstructured job descriptions; a deep learning approach for long term QoS-compliant service composition; an artifact-driven approach to monitor business processes through real-world objects; benchFoundry: A benchmarking framework for cloud storage services; automated analysis of cloud offerings for optimal service provisioning; middleware for dynamic upgrade activation and compensations in multi-tenant SaaS; risk-based proactive process adaptation; a debt-aware learning approach for resource adaptations in cloud elasticity management; large-scale and adaptive service composition using deep reinforcement learning; ECHO: An adaptive orchestration platform for hybrid dataflows across cloud and edge; ensuring and assessing architecture conformance to microservice decomposition patterns; social-sensor cloud service for scene reconstruction; polly: A language-based approach for custom change detection of web service data; design and evaluation of a self-service delivery framework.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034044606&partnerID=40&md5=7c48a56b229888e62d2f683faa0d5976,,,,,,,Cited by: 0,,Unclassified,
,Ensuring and assessing architecture conformance to microservice decomposition patterns,"Zdun, Uwe and Navarro, Elena M. and Leymann, Frank",Lecture Notes in Computer Science,2017,Scopus,411 - 429,10601 LNCS,"Microservice-based software architecture design has been widely discussed, and best practices have been published as architecture design patterns. However, conformance to those patterns is hard to ensure and assess automatically, leading to problems such as architectural drift and erosion, especially in the context of continued software evolution or large-scale microservice systems. In addition, not much in the component and connector architecture models is specific (only) to the microservices approach, whereas other aspects really specific to that approach, such as independent deployment of microservices, are usually modeled in other views or not at all. We suggest a set of constraints to check and metrics to assess architecture conformance to microservice patterns. In comparison to expert judgment derived from the patterns, a subset of these constraints and metrics shows a good relative performance and potential for automation. © Springer International Publishing AG 2017.",Conference paper,10.1007/978-3-319-69035-3_29,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034118349&doi=10.1007%2F978-3-319-69035-3_29&partnerID=40&md5=09028be9a2824f32498a3cc9a1e061cb,,,Artificial intelligence; Computer science; Computers; Architecture designs; Best practices; Connector architectures; Expert judgment; Relative performance; Software architecture design; Software Evolution; Distributed computer systems,,,,Cited by: 40; All Open Access; Green Accepted Open Access; Green Open Access,,Unclassified,
,"Proceedings - 2017 IEEE International Conference on Software Architecture, ICSA 2017",,,2017,Scopus,,,"The proceedings contain 34 papers. The topics discussed include: microservice ambients: an architectural meta-modelling approach for microservice granularity; research on architecting microservices: trends, focus, and potential for industrial adoption; quality evaluation of PaaS cloud application design using generated prototypes; towards a reference architecture for cloud-based plant genotyping and phenotyping analysis frameworks; comparing the built-in application architecture models in the web browser; determination and enforcement of least-privilege architecture in android; understanding software vulnerabilities related to architectural security tactics: an empirical investigation of chromium, PHP and Thunderbird; experiments in curation: towards machine-assisted construction of software architecture knowledge bases; developing an ontology for architecture knowledge from developer communities; digital space systems engineering through semantic data models; human aspects in software architecture decision making: a literature review; accurate analysis of quality properties of software with observation-based Markov chain refinement; designing robust software systems through parametric Markov chain synthesis; semantic differencing for message-driven component & connector architectures; and on the understandability of semantic constraints for behavioral software architecture compliance: a controlled experiment.",Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021426692&partnerID=40&md5=85341f583a96ebc36c08f17bbd96a9c0,,,,,,,Cited by: 0,,Unclassified,
,A Decomposition and Metric-Based Evaluation Framework for Microservices,"Taibi, Davide and Systä, Kari",Communications in Computer and Information Science,2020,Scopus,133 - 149,1218 CCIS,"Migrating from monolithic systems into microservice is a very complex task. Companies are commonly decomposing the monolithic system manually, analyzing dependencies of the monolith and then assessing different decomposition options. The goal of our work is two-folded: 1) we provide a microservice measurement framework to objectively evaluate and compare the quality of microservices-based systems; 2) we propose a decomposition system based on business process mining. The microservice measurement framework can be applied independently from the decomposition process adopted, but is also useful to continuously evaluate the architectural evolution of a system. Results show that the decomposition framework helps companies to easily identify the different decomposition options. The measurement framework can help to decrease the subjectivity of the decision between different decomposition options and to evaluate architectural erosion in existing systems. © 2020, Springer Nature Switzerland AG.",Conference paper,10.1007/978-3-030-49432-2_7,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086276785&doi=10.1007%2F978-3-030-49432-2_7&partnerID=40&md5=7e30d56ffbf6a6e5162e9492e3cf2d47,,Cloud-native; Microservice decomposition; Microservice migration; Microservice slicing; Microservices,Cloud computing; Decomposition; Architectural evolution; Business process minings; Complex task; Decomposition process; Decomposition system; Evaluation framework; Existing systems; Monolithic systems; Quality control,,,,Cited by: 21; All Open Access; Green Accepted Open Access; Green Open Access,,Unclassified,
,Assessing architecture conformance to coupling-related patterns and practices in microservices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner, Sebastian and Geiger, Sebastian",Lecture Notes in Computer Science,2020,Scopus,3 - 20,12292 LNCS,"Microservices are the go-to architectural style for building applications that are polyglot, support high scalability, independent development and deployment, and are rapidly adaptable to changes. Among the core tenets for a successful microservice architecture is high independence of the individual microservices, i.e. loose coupling. A number of patterns and best practices are well-established in the literature, but most actual microservice-based systems do not, as a whole or in part, conform to them. Assessing this conformance manually is not realistically possible for large-scale systems. This study aims to provide the foundations for an automated approach for assessing conformance to coupling-related patterns and practices specific for microservice architectures. We propose a model-based assessment based on generic, technology-independent metrics, connected to typical design decisions encountered in microservice architectures. We demonstrate and assess the validity and appropriateness of these metrics by performing an assessment of the conformance of real-world systems to patterns through statistical methods. © Springer Nature Switzerland AG 2020.",Conference paper,10.1007/978-3-030-58923-3_1,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091491521&doi=10.1007%2F978-3-030-58923-3_1&partnerID=40&md5=40ac2ec320983cc02b5585a7b76de071,,,Software architecture; Architectural style; Automated approach; Building applications; High scalabilities; Loose couplings; Model-based OPC; Real-world system; Technology independent; Large scale systems,,,,Cited by: 14,,Unclassified,
,Metrics for assessing architecture conformance to microservice architecture patterns and practices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Meixner, Sebastian and Geiger, Sebastian",Lecture Notes in Computer Science,2020,Scopus,580 - 596,12571 LNCS,"Many contemporary service-based systems follow the microservice approach, particularly in DevOps or continuous delivery contexts. They share a set of important tenets such as independent development and deployment, high releasability, polyglot technology support, and loose coupling. A number of best practices for microservice architectures have been codified as patterns, which embody those tenets. However, no real-world microservices system can support all patterns and practices well, but rather architectural decisions making trade-offs among them are needed. Conformance to the patterns and practices selected in such decisions is hard to ensure and assess automatically, especially in large-scale, complex, and evolving systems. In this work, we propose a model-based approach based on generic, technology-independent metrics, tied to typical architectural design decisions in the microservice domain. With this approach we can measure conformance to the patterns and related tenets. We demonstrate and assess the validity and appropriateness of these metrics in performing an assessment of a system’s conformance to patterns through statistical methods. © Springer Nature Switzerland AG 2020.",Conference paper,10.1007/978-3-030-65310-1_42,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098257999&doi=10.1007%2F978-3-030-65310-1_42&partnerID=40&md5=3aa4617740e9ab7d0afe4515c2f39740,,,Economic and social effects; Architectural decision; Architectural design decisions; Architecture patterns; Evolving systems; Model based approach; Service-based systems; Technology independent; Technology support; Architecture,,,,Cited by: 9,,Unclassified,
,Applying a multi-platform architectural conformance solution in a real-world microservice-based system,"Araujo, Elena A. and Espíndola, Álvaro M. and Garcia, Vinícius Cardoso and Terra, Ricardo",ACM International Conference Proceeding Series,2020,Scopus,41 - 50,,"Microservice architectures are composed of a set of independent microservices that execute well-defined functionalities, allowing each one to be developed in different programming languages and data management technologies. The problem, however, is that such heterogeneity implies in a harder verification process of communication among microservices and the architectural designs of each microservice. Although the state-of-the-art provides several architectural conformance solutions, none formally restricts communications (e.g., over HTTP) between different systems. Even stable and industrial solutions - -such as Kubernetes, Terraform, and Docker Compose - -provide basic mechanisms to restrict communications between microservices. Thereupon, this paper proposes and evaluates a multi-platform architectural conformance solution for the microservice architecture. For this purpose, (i) we specify an architectural constraint language, called DCL+ - -adapted from the DCL (Dependency Constraint Language) language; (ii) we propose a multi-platform process that restricts the communication between the microservices and also verifies the architectural projects of each one of them; (iii) we develop DCL+check, a tool that implements the proposed solution; (iv) we apply our process in a medium-size real-world application composed of eleven microservices, developed in two different languages (JavaScript and Java). As result, we found 16 communication and 171 structural design violations. The communication violations occurred in general due to the lack of knowledge of the developers about the restrictions of communication among the modules of the orchestrator system and other microservices, as well as the evolution of two microservices. © 2020 ACM.",Conference paper,10.1145/3425269.3425270,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095810870&doi=10.1145%2F3425269.3425270&partnerID=40&md5=e7e0a97f76bf857656bc9c0a149ea44a,,,Computer software reusability; Structural design; Architectural constraints; Architectural projects; Basic mechanism; Dependency constraints; Industrial solutions; Management technologies; State of the art; Verification process; Information management,,,,Cited by: 0,,Unclassified,
,Towards a method for monitoring the coupling evolution of microservice-based architectures,"de Freitas Apolinário, Daniel Rodrigo and de França, Breno Bernard Nicolau",ACM International Conference Proceeding Series,2020,Scopus,71 - 80,,"The microservice architecture is claimed to satisfy ongoing software development demands, such as resilience, flexibility, and velocity. However, developing applications based on microservices also brings some drawbacks, such as the increased software operational complexity. Recent studies have also pointed out the lack of methods to prevent problems related to the maintainability of these solutions. Disregarding established design principles during the software evolution may lead to the so-called architectural erosion, which can end up in a condition of unfeasible maintenance. As microservices can be considered a new architecture style, there are few initiatives to monitoring the evolution of software microservice-based architectures. In this paper, we introduce the SYMBIOTE method for monitoring the coupling evolution of microservice-based systems. More specifically, this method collects coupling metrics during runtime (staging or production environments) and monitors them throughout software evolution. The longitudinal analysis of the collected measures allows detecting an upward trend in coupling metrics that could be signs of architectural erosion. To develop the proposed method, we performed an experimental analysis of the coupling metrics behavior using artificially-generated data. © 2020 ACM.",Conference paper,10.1145/3425269.3425273,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095820890&doi=10.1145%2F3425269.3425273&partnerID=40&md5=add7766e1e8a85bb98d13c462bb4a90c,,Coupling metrics; Maintainability; Microservices; Software Evolution,Application programs; Computer software reusability; Erosion; Architecture styles; Coupling evolution; Design Principles; Experimental analysis; Longitudinal analysis; Operational complexity; Production environments; Software Evolution; Software design,,,,Cited by: 3,,Unclassified,
,"Proceedings - 14th Brazilian Symposium on Software Components, Architectures, and Reuse, SBCARS 2020",,ACM International Conference Proceeding Series,2020,Scopus,,,The proceedings contain 16 papers. The topics discussed include: classifying feature models maintainability based on machine learning algorithms; supporting user preferences in search-based product line architecture design using machine learning; investigating non-usually employed features in the identification of architectural smells: a machine learning-based approach; architectural feature re-modularization for software product line evolution; applying a multi-platform architectural conformance solution in a real-world microservice-based system; the impact of microservices on the evolution of a software product line; microservice architecture: a tertiary study; towards a method for monitoring the coupling evolution of microservice-based architectures; and test-case-based code navigation in dynamically typed programming languages.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123040650&partnerID=40&md5=6f1019ea014396d9edec26062a12ac8d,,,,,,,Cited by: 0,,Unclassified,
,Evaluating and Improving Microservice Architecture Conformance to Architectural Design Decisions,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger, Sebastian",Lecture Notes in Computer Science,2021,Scopus,188 - 203,13121 LNCS,"Microservices are a commonly used architectural style targeting independent development, deployment, and release of services, as well as supporting polyglot capabilities and rapid release strategies. This depends on the presence of certain software architecture qualities. A number of architecture patterns and best practices that support the required qualities have been proposed in the literature, but usually in isolation of one another. Additionally, in real-world systems, assessing conformance to these patterns and practices and detecting possible violations is a significant challenge. For small-scale systems of a few services, a manual assessment and violation detection by an expert is probably both accurate and sufficient. However, for industrial-scale systems of several hundred or more services, manual assessment and violation detection is laborious and likely leads to inaccurate results. Furthermore, manual assessment is impractical for rapidly evolving and frequently released system architectures. In this work we examine a subset of microservice-relevant patterns, and propose a method for the semi-automatic detection and resolution of conformance violations. Our aim is to assist the software architect by providing a set of possible fix options and generating models of “fixed” architectures. © 2021, Springer Nature Switzerland AG.",Conference paper,10.1007/978-3-030-91431-8_12,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120524117&doi=10.1007%2F978-3-030-91431-8_12&partnerID=40&md5=7c0a3ca83ce0ea7e29e48e83a98d3392,,,Architectural design decisions; Architectural style; Architecture patterns; Best practices; Industrial scale systems; Rapid release; Real-world system; Release strategies; Small-scale systems; Violation detections; Software architecture,,,,Cited by: 5,,Unclassified,
,"19th International Conference on Service-Oriented Computing, ICSOC 2021",,Lecture Notes in Computer Science,2021,Scopus,,13121 LNCS,The proceedings contain 67 papers. The special focus in this conference is on Service-Oriented Computing. The topics include: Are Developers Equally Concerned About Making Their APIs RESTful and the Linguistic Quality? A Study on Google APIs; evaluating and Improving Microservice Architecture Conformance to Architectural Design Decisions; thunQ: A Distributed and Deep Authorization Middleware for Early and Lazy Policy Enforcement in Microservice Applications; boreas – A Service Scheduler for Optimal Kubernetes Deployment; resource Management for TensorFlow Inference; representation Learning Based Query Decomposition for Batch Shortest Path Processing in Road Networks; an Adaptive Charging Scheduling for Electric Vehicles Using Multiagent Reinforcement Learning; Locating False Data Injection Attacks on Smart Grids Using D-FACTS Devices; privacy-Preserving Worker Recruitment Under Variety Requirement in Spatial Crowdsourcing; DeepProcess: Supporting Business Process Execution Using a MANN-Based Recommender System; t2L2: A Tiny Three Linear Layers Model for Service Mashup Creation; energy-Aware Placement of Device-to-Device Mediation Services in IoT Systems; fairness-Aware Crowdsourcing of IoT Energy Services; dynamic Conflict Resolution of IoT Services in Smart Homes; migration-Based Service Allocation Optimization in Dynamic IoT Networks; automated Paraphrase Generation with Over-Generation and Pruning Services; privacy-Aware Identity Cloning Detection Based on Deep Forest; multiple Agents Reinforcement Learning Based Influence Maximization in Social Network Services; on the Scalability of Compositions of Service-Oriented Applications; ServiceBERT: A Pre-trained Model for Web Service Tagging and Recommendation; interval-Based Remaining Time Prediction for Business Processes; top-k Dynamic Service Composition in Skyway Networks; graph-Based Data Deduplication in Mobile Edge Computing Environment; iaaS Signature Change Detection with Performance Noise.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120568278&partnerID=40&md5=138bde8667c39b18ad69f8fb6ea7c6be,,,,,,,Cited by: 0,,Unclassified,
,Semi-automatic Feedback for Improving Architecture Conformance to Microservice Patterns and Practices,"Ntentos, Evangelos and Zdun, Uwe and Plakidas, Konstantinos and Geiger, Sebastian",,2021,Scopus,36 - 46,,"Microservices are one of the most recommended architectural styles for distributed applications that support independent development and deployment, enable rapid release, and are highly scalable and polyglot. Many well-established patterns and best practices have been documented in the literature. As there are many such guidances, they have numerous interdependencies, and system designs must adhere to many other architecture constraints, too, implementations do not always conform to those guidances. In complex or large systems, it can be hard and tedious to spot violations. Our work aims to offer automated support for architecting during the continuous evolution of microservice-based systems. More specifically we aim to provide the foundations for an automated approach for architecture reconstruction, assessing conformance to patterns and practices specific for microservice architectures, and detect possible violations. Based on this, we provide actionable options to architects for improving architecture conformance as part of a continuous feedback loop. That is, our goal is to support architecting in the context of continuous delivery practices, where architecture violations are continuously analyzed and fix options are continuously suggested. © 2021 IEEE.",Conference paper,10.1109/ICSA51549.2021.00012,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106981120&doi=10.1109%2FICSA51549.2021.00012&partnerID=40&md5=21f3e272b00832b218635553f530d18f,,best practices; continuous architecture improvement; feedback loop; Microservices; patterns,Software architecture; Architectural style; Architecture reconstruction; Automated approach; Automated support; Best practices; Distributed applications; Feed-back loop; Semi-automatics; Automation,,,,Cited by: 17,,Unclassified,
,"Proceedings - IEEE 18th International Conference on Software Architecture, ICSA 2021",,,2021,Scopus,,,The proceedings contain 16 papers. The topics discussed include: the influence of cognitive biases on architectural technical debt; constructing a shared infrastructure for software architecture analysis and maintenance; exploring web search engines to find architectural knowledge; enabling consistency between software artefacts for software adaption and evolution; system- and software-level architecting harmonization practices for systems-of-systems: an exploratory case study on a long-running large-scale scientific instrument; practitioner views on the interrelation of microservice APIs and domain-driven design: a grey literature study based on grounded theory; semi-automatic feedback for improving architecture conformance to microservice patterns and practices; and a decision model for choosing patterns in blockchain-based applications.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106998243&partnerID=40&md5=ca10de04345a35215d1f875dd4752c49,,,,,,,Cited by: 0,,Unclassified,
,A method for monitoring the coupling evolution of microservice-based architectures,"Apolinário, Daniel R.F. and de França, Breno Bernard Nicolau",Journal of the Brazilian Computer Society,2021,Scopus,,27,"The microservice architecture is claimed to satisfy ongoing software development demands, such as resilience, flexibility, and velocity. However, developing applications based on microservices also brings some drawbacks, such as the increased software operational complexity. Recent studies have also pointed out the lack of methods to prevent problems related to the maintainability of these solutions. Disregarding established design principles during the software evolution may lead to the so-called architectural erosion, which can end up in a condition of unfeasible maintenance. As microservices can be considered a new architecture style, there are few initiatives to monitoring the evolution of software microservice-based architectures. In this paper, we introduce the SYMBIOTE method for monitoring the coupling evolution of microservice-based systems. More specifically, this method collects coupling metrics during runtime (staging or production environments) and monitors them throughout software evolution. The longitudinal analysis of the collected measures allows detecting an upward trend in coupling metrics that could represent signs of architectural degradation. To develop the proposed method, we performed an experimental analysis of the coupling metrics behavior using artificially generated data. The results of these experiment revealed the metrics behavior in different scenarios, providing insights to develop the analysis method for the identification of architectural degradation. We evaluated the SYMBIOTE method in a real-case open source project called Spinnaker. The results obtained in this evaluation show the relationship between architectural changes and upward trends in coupling metrics for most of the analyzed release intervals. Therefore, the first version of SYMBIOTE has shown potential to detect signs of architectural degradation during the evolution of microservice-based architectures. © 2021, The Author(s).",Article,10.1186/s13173-021-00120-y,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120964084&doi=10.1186%2Fs13173-021-00120-y&partnerID=40&md5=cbc0e8df254457768b1cae8caeaf6e2b,,Coupling metrics; Maintainability; Microservices; Software architecture; Software engineering; Software evolution,Application programs; Open source software; Software architecture; Software design; Architecture styles; Condition; Coupling evolution; Coupling metric; Design Principles; Microservice; Operational complexity; Runtimes; Software Evolution; Upward trend; Maintainability,,,,Cited by: 20; All Open Access; Gold Open Access,,Unclassified,
,"Proceedings - IEEE 19th International Conference on Software Architecture, ICSA 2022",,,2022,Scopus,,,The proceedings contain 16 papers. The topics discussed include: architectural attack propagation analysis for identifying confidentiality issues; using gossip enabled distributed circuit breaking for improving resiliency of distributed systems; using gossip enabled distributed circuit breaking for improving resiliency of distributed systems; symptoms of architecture erosion in code reviews: a study of two OpenStack projects; a study on the software architecture documentation practices and maturity in open-source software development; how do developers search for architectural information? an industrial survey; designing microservice systems using patterns: an empirical study on quality trade-offs; and effort estimation for architectural refactoring of data tier software.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132033293&partnerID=40&md5=a78de98b086991d0b5246534e23a898c,,,,,,,Cited by: 0,,Unclassified,
,Conformance Assessment of Architectural Design Decisions on the Mapping of Domain Model Elements to APIs and API Endpoints,"Singjai, Apitchaka and Zdun, Uwe",,2022,Scopus,76 - 83,,"Microservice APIs are often identified and designed based on Domain-Driven Design (DDD). To help in the continuous analysis of mappings of domain model elements to APIs and API endpoints, we aim to automate the assessment of conformance to Architectural Design Decision (ADD) options. The ADDs, their decision options, and relevant decision drivers studied in this paper originate from an empirical study on the mapping of domain model elements to APIs and API endpoints in practice. We propose automated detectors to detect the decision options of the ADDs taken in a given microservice API model, and an assessment scoring scheme based on the empirical knowledge codified in the ADDs. We evaluate our work, by first manually creating a ground truth for 14 cases in a multi-case study, and then comparing the results of our automated detectors to the ground truth for each of the 14 cases. In the cases we were able to identify 86% of the decision points correctly, and a statistical analysis of our data shows only a negligible effect size for differences to the ground truth. © 2022 IEEE.",Conference paper,10.1109/ICSA-C54293.2022.00058,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132156777&doi=10.1109%2FICSA-C54293.2022.00058&partnerID=40&md5=3e2aa421b5fd4b24cafd09c2a033ac48,,API Design; Architectural Design Decision; Conformance Assessment; DDD; Microservice Architecture,Architectural design; Software architecture; API design; Architectural design decisions; Automated detectors; Conformance assessment; Continuous analysis; Domain model; Domain-driven designs; Ground truth; Microservice architecture; Model elements; Mapping,,,,Cited by: 1,,Unclassified,
,Constructing a service process model based on distributed tracing for conformance checking of microservices,"Sakai, Masaru and Takahashi, Kensuke",,2022,Scopus,,,"In recent years, microservices architectures have become widespread, where services are divided into smaller pieces, communicate with each other, and operate in chains. Distributed tracing, which tracks the processing of user requests, is used to analyze and visualize microservices. In this paper, the trace data obtained from the distributed tracing is divided based on the parent-child relationship and converted into an event log. In addition, process discovery is performed on each of the split event logs to estimate the relationships between microservice processes. Then, generate a normal Petri net model that can reproduce each event log. Finally, the test trace data is used to verify the suitability of the Petri net model. We constructed a service model for two sample microservices with different scales and distributed tracing implementations and demonstrated the proposed method's feasibility through conformance checking using test trace data. © 2022 IEEE.",Conference paper,10.1109/NOMS54207.2022.9789804,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133197228&doi=10.1109%2FNOMS54207.2022.9789804&partnerID=40&md5=6bb94303cc22ddc54037170a9b0245fd,,Conformance Checking; Distributed Tracing; Petri nets; Process Mining; Process Model,Conformance checking; Distributed tracing; Event logs; Model-based OPC; Petri net models; Process Discovery; Process mining; Process-models; Service process; Trace data; Petri nets,,,,Cited by: 3,,Unclassified,
,"8th Workshop on Software Architecture Erosion and Architectural Consistency, SAEroCon 2021, 1st International Workshop on Software Architecture and Machine Learning, SAML 2021, 4th International Workshop on Context-aware, Autonomous and Smart Architecture, CASA 2021, 5th Workshop on Formal Approaches for Advanced Computing Systems, FAACS 2021, 2nd International Workshop on Model-Driven Engineering for Software Architecture, MDE4SA 2021 and 1st International Workshop on Mining Software Repositories for Software Architecture, MSR4SA 2021 which complemented 15th European Conference on Software Architecture, ECSA 2021",,Lecture Notes in Computer Science,2022,Scopus,,13365 LNCS,The proceedings contain 15 papers presendted at a virtual meeting. The special focus in this conference is on Software Architecture Erosion and Architectural Consistency. The topics include: Interactive Elicitation of Resilience Scenarios Based on Hazard Analysis Techniques; Towards an Extensible Approach for Generative Microservice Development and Deployment Using LEMMA; applying Knowledge-Driven Architecture Composition with Gabble; architectural Optimization for Confidentiality Under Structural Uncertainty; foundations and Research Agenda for Simulation of Smart Ecosystems Architectures; Blended Graphical and Textual Modelling of UML-RT State-Machines: An Industrial Experience; toward Awareness Creation of Common Challenges Women are Facing in Academia: A Study from a German Perspective; mapping Source Code to Modular Architectures Using Keywords; hierarchical Code-to-Architecture Mapping; Building the MSR Tool Kaiaulu: Design Principles and Experiences; self-adaptive Machine Learning Systems: Research Challenges and Opportunities; behavioral Maps: Identifying Architectural Smells in Self-adaptive Systems at Runtime; an Architectural Approach for Enabling and Developing Cooperative Behaviour in Diverse Autonomous Robots.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137000762&partnerID=40&md5=f5db01f01875a8b8a47e461266505a6d,,,,,,,Cited by: 0,,Unclassified,
,Assessing Architecture Conformance to Security-Related Practices in Infrastructure as Code Based Deployments,"Ntentos, Evangelos and Zdun, Uwe and Falazi, Ghareeb and Breitenbücher, Uwe and Leymann, Frank",,2022,Scopus,123 - 133,,"Infrastructure as Code (IaC) enables developers and operations teams to automatically deploy and manage an IT infrastructure via software. Among other uses, IaC is widely used in the context of continuously released deployments such as those of microservice and other cloud-based systems. Although IaC-based deployments have been utilized by many companies, there are no approaches on checking their conformance to architectural aspects yet. In this paper, we focus on security-related practices including observability, access control, and traffic control in IaC-based deployments. While best practices for this topic have been documented in some gray literature sources such as practitioners' blogs and public repositories, approaches enabling automated checking of conformance to such best practices do not yet exist. We propose a model-based approach based on generic, technology-independent metrics, tied to typical architectural design decisions on IaC-based deployments. With this approach, we can measure conformance to security-related practices. We demonstrate and assess the validity and appropriateness of these metrics in assessing a system's conformance to practices through regression analysis. © 2022 IEEE.",Conference paper,10.1109/SCC55611.2022.00029,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138037280&doi=10.1109%2FSCC55611.2022.00029&partnerID=40&md5=8426e3bbce08ccc97b9609781c1c9c9c,,best practices; Infrastructure as code; metrics; modeling; software architecture,Regression analysis; Software architecture; Traffic control; Best practices; Cloud-based; Generic technology; Grey literature; Infrastructure as code; IT infrastructures; Metric; Model based approach; Modeling; Public repositories; Access control,,,,Cited by: 2,,Unclassified,
,"Proceedings - 2022 IEEE International Conference on Services Computing, SCC 2022",,,2022,Scopus,,,"The proceedings contain 47 papers. The topics discussed include: inventory pooling using deep reinforcement learning; CPGCN: collaborative property-aware graph convolutional networks for service recommendation; CPGCN: collaborative property-aware graph convolutional networks for service recommendation; discussing microservices: definitions, pitfalls, and their relations; a lightweight general adaptive optimization tool for relational DBMSS under HTAP workloads; mats: a multi-aspect and adaptive trust-based situation-aware access control framework for federated data-as-a-service systems; probabilistic analysis of context caching in internet of things applications; a general KPI anomaly detection using attention models; and assessing architecture conformance to security-related practices in infrastructure as code based deployments.",Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138057848&partnerID=40&md5=fb04b3f4e80d34ad02dd0a81af03c438,,,,,,,Cited by: 0,,Unclassified,
,"16th European Conference on Software Architecture, ECSA 2022",,Lecture Notes in Computer Science,2022,Scopus,,13444 LNCS,The proceedings contain 15 papers. The special focus in this conference is on Software Architecture. The topics include: Persistence Factories Architectural Design Pattern; feature-Based Investigation of Simulation Structure and Behaviour; ARCHI4MOM: Using Tracing Information to Extract the Architecture of Microservice-Based Systems from Message-Oriented Middleware; autoArx: Digital Twins of Living Architectures; documentation-as-Code for Interface Control Document Management in Systems of Systems: A Technical Action Research Study; To Deprecate or to Simply Drop Operations? An Empirical Study on the Evolution of a Large OpenAPI Collection; ProML: A Decentralised Platform for Provenance Management of Machine Learning Software Systems; a Systematic Survey of Architectural Approaches and Trade-Offs in Data De-identification; accurate Performance Predictions with Component-Based Models of Data Streaming Applications; assessing Architecture Conformance to Coupling-Related Infrastructure-as-Code Best Practices: Metrics and Case Studies; teaching Microservice Architecture Using DevOps—An Experience Report; should Microservice Security Smells Stay or be Refactored? Towards a Trade-off Analysis; preface.,Conference review,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139007817&partnerID=40&md5=2b850fa0894ee8300360e6882f4f81a6,,,,,,,Cited by: 0,,Unclassified,
